Parameter,value,Initial coverage mean, Std Dev, Max,"After merging, coverage depth Mean", Std Dev, Max,,,
m,2,21.04,94.99,36538,26.89,26.23,302,,,
m,2,18.76,89.90,36597,23.94,24.41,455,,,
m,2,11.22,58.91,24791,14.23,14.56,198,,,
m,2,23.49,175.92,73709,30.00,31.10,431,,,
m,2,13.52,192.96,98211,15.86,18.81,363,,,
m,2,18.62,142.70,56982,22.71,23.31,308,,,
m,2,19.75,143.75,54714,23.20,22.52,391,,,
m,2,11.91,225.92,107019,12.88,13.95,438,,,
m,2,14.26,187.09,80465,15.62,17.68,417,,,
m,2,12.03,126.68,48877,13.06,12.52,271,,,
m,2,11.43,115.14,59483,14.05,13.58,334,,,
m,2,18.92,161.04,68606,23.34,25.49,401,,,
m,2,17.90,173.63,77530,21.31,23.21,343,,,
m,2,12.73,61.91,25939,16.16,16.61,223,,,
m,2,14.02,63.81,25822,17.73,18.01,233,,,
m,2,16.21,73.22,29900,20.92,22.11,246,,,
m,2,9.85,50.35,21431,12.63,13.02,143,,,
m,2,12.15,54.99,22629,15.49,15.94,201,,,
m,2,12.12,57.35,24677,15.58,16.29,213,,,
m,2,9.47,48.82,22126,12.35,12.45,157,,,
m,2,8.04,47.09,23661,10.57,11.76,142,,,
m,2,4.54,14.34,3527,4.91,4.27,60,,,
m,2,6.20,29.27,3855,6.86,6.00,104,,,
m,2,2.79,7.96,308,2.47,1.23,27,,,
m,2,3.13,12.81,2076,2.98,1.77,43,,,
m,2,11.06,25.56,4177,13.88,13.73,127,,,
m,2,14.69,67.25,20664,15.64,15.97,261,,,
m,2,12.28,52.72,15850,12.99,12.69,222,,,
m,2,15.30,72.75,22337,16.36,16.97,258,,,
m,2,10.63,48.48,13623,11.17,10.42,163,,,
m,2,7.29,29.54,7538,7.60,6.17,100,,,
m,2,7.54,31.10,7460,7.78,6.42,135,,,
m,2,9.66,44.26,11587,10.03,9.13,134,,,
m,2,8.48,38.33,9161,8.71,7.56,130,,,
m,2,8.53,39.07,9697,8.75,7.63,136,,,
m,2,10.94,49.21,13339,11.39,10.73,206,,,
m,2,10.86,94.92,55865,14.46,16.40,203,,,
m,2,11.99,71.71,36210,15.95,17.75,228,,,
m,2,11.18,65.42,32213,14.85,15.91,235,,,
m,2,8.79,57.29,31357,11.65,13.19,159,,,
m,2,8.70,66.22,40126,11.39,13.87,188,,,
m,2,9.74,66.32,38768,12.84,15.34,234,,,
m,2,10.19,72.53,42941,13.37,16.30,226,,,
m,2,14.42,89.57,37737,17.16,18.54,299,,,
m,2,21.14,146.42,57507,24.55,23.94,438,,,
m,2,19.40,150.01,61172,23.09,23.67,538,,,
m,2,18.51,158.46,70299,20.15,23.80,486,,,
m,2,25.87,170.40,67776,32.05,30.44,501,,,
m,2,14.80,102.39,38418,15.72,16.02,273,,,
m,2,20.37,124.11,44731,24.27,22.87,450,,,
m,2,15.86,122.51,46878,17.07,17.54,379,,,
m,2,13.26,138.41,63965,15.55,17.27,312,,,
m,2,16.25,150.24,62651,17.43,19.53,653,,,
m,2,12.39,65.68,27441,16.01,16.34,192,,,
m,2,12.15,57.47,22899,15.58,16.45,190,,,
m,2,12.34,65.61,27053,15.98,16.34,265,,,
m,2,11.74,56.80,22438,14.48,14.61,212,,,
m,2,16.39,80.96,31773,20.38,19.92,260,,,
m,2,16.80,72.65,27049,20.77,19.69,271,,,
m,2,17.43,89.07,35791,22.13,21.75,294,,,
m,2,12.29,64.95,27304,15.85,16.40,190,,,
m,2,17.32,97.55,42170,22.60,23.40,330,,,
m,2,18.57,102.48,43402,22.82,22.71,342,,,
m,2,8.54,52.57,21789,8.96,9.35,179,,,
m,2,14.79,67.09,24540,16.99,14.97,218,,,
m,2,7.51,71.56,42145,9.95,10.71,161,,,
m,2,6.64,35.81,16563,8.62,9.08,137,,,
m,2,7.34,58.99,31594,9.57,10.25,213,,,
m,2,6.91,46.62,22462,9.01,8.93,158,,,
m,2,8.74,51.42,20605,9.32,9.55,184,,,
m,2,14.78,89.13,36460,16.84,16.92,294,,,
m,2,14.13,26.49,4416,17.28,16.78,123,,,
m,2,7.73,68.64,38875,9.10,9.20,219,,,
m,2,15.25,106.28,43813,18.81,18.18,267,,,
m,2,10.33,101.84,40717,11.88,11.03,222,,,
m,2,21.65,158.57,70174,27.55,24.15,342,,,
m,2,20.41,133.88,56563,25.80,23.56,419,,,
m,2,17.04,102.00,40872,20.88,18.50,360,,,
m,2,8.85,82.45,36183,8.74,11.04,246,,,
m,2,14.69,81.40,33895,17.57,17.68,282,,,
m,2,16.98,97.50,40161,20.56,20.48,371,,,
m,2,17.79,115.19,52268,21.87,23.35,380,,,
m,2,16.02,82.57,33857,19.04,19.96,253,,,
m,3,20.00,160.61,64628,22.09,18.85,371,,,
m,3,25.69,116.57,44269,29.76,25.76,477,,,
m,3,16.44,87.72,28267,18.33,15.33,286,,,
m,3,22.00,35.01,5074,26.02,20.77,203,,,
m,3,22.56,139.67,55647,25.48,21.14,497,,,
m,3,25.56,163.42,63834,29.16,24.31,504,,,
m,3,19.48,155.74,63747,22.67,19.22,486,,,
m,3,24.91,234.27,92191,27.25,23.07,520,,,
m,3,32.15,210.70,88262,36.90,30.75,705,,,
m,3,32.13,241.13,97230,35.69,31.12,720,,,
m,3,22.64,181.20,74674,25.57,23.18,601,,,
m,3,28.23,206.77,80784,31.05,26.52,659,,,
m,3,27.12,221.26,90590,30.11,26.92,715,,,
m,3,16.88,65.06,23153,19.87,17.86,291,,,
m,3,11.32,53.87,22295,14.57,14.16,198,,,
m,3,11.03,50.13,21303,14.37,14.25,160,,,
m,3,10.71,53.51,21470,13.65,12.66,211,,,
m,3,17.25,142.32,66500,21.17,20.23,364,,,
m,3,28.43,110.64,38087,31.79,26.53,418,,,
m,3,35.29,192.81,71752,39.30,28.83,632,,,
m,3,18.33,131.54,46283,18.77,15.87,472,,,
m,3,13.56,179.31,56867,12.29,12.72,398,,,
m,3,24.90,109.65,37262,26.77,22.89,458,,,
m,3,13.33,79.35,36390,17.38,17.13,227,,,
m,3,22.79,101.38,37933,26.76,23.56,332,,,
m,3,19.31,111.78,41384,21.74,18.13,352,,,
m,3,15.91,95.53,39577,18.95,17.27,430,,,
m,3,20.49,128.25,54814,24.95,22.35,407,,,
m,3,20.04,128.64,52017,23.95,21.40,433,,,
m,3,19.11,122.91,49541,22.42,19.07,339,,,
m,3,14.68,104.44,46332,17.65,16.68,324,,,
m,3,17.86,105.43,44055,21.61,19.28,371,,,
m,3,17.86,88.12,32542,20.76,18.30,356,,,
m,3,15.88,94.73,41484,18.66,17.82,387,,,
m,3,15.37,97.44,40458,18.23,16.31,267,,,
m,3,13.14,91.59,39533,15.05,13.59,321,,,
m,3,66.64,608.94,436626,87.50,159.84,1704,,,
m,3,23.37,117.70,41473,25.70,20.73,395,,,
m,3,22.68,127.58,46000,24.91,20.32,451,,,
m,3,14.23,81.33,40835,17.30,16.85,386,,,
m,3,17.82,83.63,29661,20.16,17.34,259,,,
m,3,23.88,119.87,44128,27.50,24.06,410,,,
m,3,23.38,119.20,42766,26.17,21.55,426,,,
m,3,63.43,513.04,378806,92.16,158.72,1467,,,
m,3,20.71,108.63,41339,24.19,21.54,479,,,
m,3,22.82,144.87,60889,27.98,25.62,512,,,
m,3,17.05,80.02,28906,19.95,17.39,290,,,
m,3,16.99,83.42,31144,19.78,16.32,302,,,
m,3,10.82,67.44,27528,13.48,11.59,219,,,
m,3,12.50,60.13,22287,14.90,12.40,187,,,
m,3,12.64,77.53,34643,16.15,14.99,265,,,
m,3,12.42,72.42,32485,15.97,15.13,223,,,
m,3,10.71,63.09,28849,13.91,13.64,193,,,
m,3,15.18,86.48,36575,18.87,17.28,308,,,
m,3,10.60,65.73,34296,14.15,15.18,245,,,
m,3,9.93,50.48,24911,12.98,14.60,189,,,
m,3,9.87,77.36,41809,13.09,13.90,215,,,
m,3,12.50,74.28,36414,16.52,17.55,271,,,
m,3,10.87,58.50,28012,14.40,14.96,187,,,
m,3,10.40,56.11,26977,13.77,14.26,184,,,
m,3,15.90,133.13,79228,21.47,23.65,496,,,
m,3,13.52,58.91,24068,17.23,16.61,184,,,
m,3,13.78,73.76,30640,17.25,15.72,276,,,
m,3,30.71,177.84,73853,35.63,28.85,659,,,
m,3,14.78,99.21,56037,19.59,21.71,321,,,
