Parameter,value,Initial coverage mean, Std Dev, Max,"After merging, coverage depth Mean", Std Dev, Max,,,
m,4,12.17,58.05,21907,15.40,13.42,164,,,
m,4,15.09,66.47,25709,18.59,16.68,270,,,
m,4,33.78,230.75,95045,38.16,31.79,926,,,
m,4,14.23,88.79,29514,15.25,11.85,309,,,
m,4,28.18,166.85,66183,32.20,24.82,481,,,
m,4,24.65,128.34,47147,28.05,22.65,445,,,
m,4,26.47,121.36,40871,28.56,22.89,498,,,
m,4,20.01,145.13,51472,21.36,17.45,447,,,
m,4,29.97,152.39,52558,32.38,26.26,570,,,
m,4,23.40,145.94,56639,26.63,20.97,461,,,
m,4,26.00,133.57,49395,29.69,23.82,525,,,
m,4,33.19,185.07,63231,35.12,25.80,700,,,
m,4,31.49,165.90,55449,33.24,25.10,706,,,
m,4,32.95,37.36,4807,35.31,25.19,207,,,
m,4,17.37,198.23,81366,19.50,16.60,413,,,
m,4,26.67,142.26,48508,28.87,22.83,602,,,
m,4,19.69,177.58,79947,22.71,20.26,461,,,
m,4,29.49,103.96,30627,29.96,23.57,404,,,
m,4,21.96,91.33,31724,25.31,22.15,275,,,
m,4,29.76,99.25,29965,31.14,24.84,401,,,
m,4,15.25,89.66,35744,19.06,16.66,315,,,
m,4,14.05,59.42,19821,16.27,13.23,200,,,
m,4,30.79,115.85,36538,32.74,26.61,474,,,
m,4,27.69,110.61,36597,30.20,25.23,455,,,
m,4,17.10,75.28,24791,19.27,15.26,263,,,
m,4,37.50,225.47,73709,40.66,33.91,874,,,
m,4,22.29,257.07,98211,24.51,22.61,666,,,
m,4,28.37,179.49,56982,30.59,25.35,630,,,
m,4,28.02,173.80,54714,29.69,24.26,588,,,
m,4,16.68,276.19,107019,17.32,17.10,618,,,
m,4,23.28,247.08,80465,23.62,20.62,661,,,
m,4,17.71,158.85,48877,17.96,14.05,404,,,
m,4,15.59,138.61,59483,18.47,14.54,382,,,
m,4,30.16,207.63,68606,32.87,27.73,542,,,
m,4,29.17,227.03,77530,30.95,26.29,721,,,
m,4,17.95,75.31,25939,20.85,17.40,320,,,
m,4,19.84,77.42,25822,22.60,18.73,310,,,
m,4,24.46,91.39,29900,27.76,23.31,482,,,
m,4,14.58,63.82,21431,17.21,14.07,271,,,
m,4,17.15,66.97,22629,20.08,16.79,295,,,
m,4,17.02,69.74,24677,20.24,17.25,244,,,
m,4,12.80,58.83,22126,16.04,13.35,196,,,
m,4,11.94,60.87,23661,15.19,13.40,188,,,
m,4,8.00,22.47,3527,7.96,5.20,114,,,
m,4,9.68,40.01,3855,9.88,6.43,131,,,
m,4,9.45,26.69,308,6.10,5.82,62,,,
m,4,6.79,29.14,2076,5.49,3.70,76,,,
m,4,17.02,31.77,4177,19.93,13.84,138,,,
m,4,19.88,79.55,20664,20.87,16.56,268,,,
m,4,16.63,62.68,15850,17.35,13.05,230,,,
m,4,20.82,86.24,22337,21.83,17.64,269,,,
m,4,14.27,57.78,13623,14.85,10.62,214,,,
m,4,9.90,36.29,7538,10.13,6.36,105,,,
m,4,10.26,38.11,7460,10.39,6.59,135,,,
m,4,13.05,53.21,11587,13.44,9.37,188,,,
m,4,11.53,46.62,9161,11.70,7.85,141,,,
m,4,11.58,47.45,9697,11.78,8.01,193,,,
m,4,14.79,58.78,13339,15.28,11.24,221,,,
m,4,16.32,121.21,55865,20.98,18.75,380,,,
m,4,18.49,92.12,36210,22.86,19.69,433,,,
m,4,16.54,82.38,32213,20.44,17.44,276,,,
m,4,13.37,74.53,31357,17.18,15.40,264,,,
m,4,12.93,85.22,40126,17.03,16.60,261,,,
m,4,14.10,83.31,38768,18.46,17.78,281,,,
m,4,14.75,90.89,42941,19.42,19.07,287,,,
m,4,20.38,108.91,37737,22.45,20.27,469,,,
m,4,31.83,182.19,57507,33.27,25.79,589,,,
m,4,29.87,189.57,61172,31.74,25.45,693,,,
m,4,32.53,214.96,70299,33.46,27.87,742,,,
m,4,39.19,211.77,67776,41.62,33.08,780,,,
m,4,21.74,126.93,38418,22.15,17.36,455,,,
m,4,28.30,148.08,44731,30.09,24.08,520,,,
m,4,23.03,150.78,46878,23.43,19.41,514,,,
m,4,20.45,177.61,63965,22.58,19.25,501,,,
m,4,26.15,195.52,62651,26.21,22.70,709,,,
m,4,17.32,79.69,27441,20.55,17.08,371,,,
m,4,17.90,71.74,22899,20.61,17.38,289,,,
m,4,16.99,78.93,27053,20.27,17.11,265,,,
m,4,16.36,68.87,22438,18.58,15.39,307,,,
m,4,22.94,97.27,31773,25.31,20.55,390,,,
m,4,23.03,86.08,27049,25.17,20.35,341,,,
m,4,24.93,108.13,35791,27.44,22.44,392,,,
m,4,17.20,78.88,27304,20.35,17.22,271,,,
m,4,24.43,117.72,42170,28.32,24.45,436,,,
m,4,26.56,124.31,43402,29.37,23.52,457,,,
m,4,13.54,69.90,21789,14.20,10.22,280,,,
m,4,19.04,77.20,24540,20.53,15.08,293,,,
m,4,11.28,94.00,42145,14.43,12.35,257,,,
m,4,10.44,48.86,16563,12.81,10.54,173,,,
m,4,10.92,77.09,31594,13.75,11.69,222,,,
m,4,9.85,59.72,22462,12.23,9.81,196,,,
m,4,13.54,67.33,20605,14.27,10.34,221,,,
m,4,21.09,108.67,36460,22.74,17.50,357,,,
m,4,21.91,31.71,4416,24.80,17.38,216,,,
m,4,11.54,89.24,38875,13.34,10.30,258,,,
m,4,23.08,133.91,43813,24.91,19.50,384,,,
m,4,15.78,131.50,40717,16.19,12.46,344,,,
m,4,29.08,185.87,70174,32.75,24.72,513,,,
m,4,27.22,156.42,56563,30.58,24.30,457,,,
m,4,21.78,116.81,40872,24.43,18.87,434,,,
m,4,15.71,117.15,36183,15.33,14.32,388,,,
m,4,21.12,99.70,33895,22.97,18.34,443,,,
m,4,23.96,117.74,40161,26.06,21.24,371,,,
m,4,26.62,143.55,52268,29.32,24.52,432,,,
m,4,23.85,102.64,33857,25.47,20.82,494,,,
m,5,22.69,172.96,64628,24.73,19.45,509,,,
m,5,28.98,124.52,44269,32.69,25.88,477,,,
m,5,18.84,95.29,28267,20.73,15.52,320,,,
m,5,25.87,37.33,5074,29.54,20.62,205,,,
m,5,25.63,150.19,55647,28.54,21.38,535,,,
m,5,28.75,174.56,63834,32.01,24.54,634,,,
m,5,22.79,170.81,63747,25.52,19.49,486,,,
m,5,28.05,250.61,92191,30.04,24.10,646,,,
m,5,36.31,225.06,88262,40.24,31.09,705,,,
m,5,38.25,265.10,97230,40.93,32.30,769,,,
m,5,28.12,204.99,74674,30.17,24.15,655,,,
m,5,32.89,224.96,80784,34.98,27.53,778,,,
m,5,32.76,245.74,90590,34.76,28.20,712,,,
m,5,20.62,73.10,23153,23.18,18.11,314,,,
m,5,15.15,65.27,22295,18.53,15.17,272,,,
m,5,15.01,61.46,21303,18.65,15.45,236,,,
m,5,14.47,65.51,21470,17.33,13.42,248,,,
m,5,22.13,165.22,66500,25.67,21.18,575,,,
m,5,32.21,118.25,38087,34.75,26.61,418,,,
m,5,38.96,203.26,71752,41.58,29.19,632,,,
m,5,21.13,143.16,46283,21.27,16.58,535,,,
m,5,16.79,205.72,56867,14.70,14.22,464,,,
m,5,28.41,117.89,37262,29.88,23.12,458,,,
m,5,17.71,94.92,36390,21.90,18.29,342,,,
m,5,27.70,112.95,37933,30.67,23.77,494,,,
m,5,22.76,123.01,41384,24.62,18.27,393,,,
m,5,20.22,110.41,39577,22.93,17.68,430,,,
m,5,24.73,142.97,54814,28.71,22.85,472,,,
m,5,24.31,143.90,52017,27.56,21.79,576,,,
m,5,23.00,136.99,49541,25.66,19.36,473,,,
m,5,18.89,122.10,46332,21.69,17.45,411,,,
m,5,21.89,118.91,44055,25.18,19.79,420,,,
m,5,21.70,98.76,32542,24.10,18.55,356,,,
m,5,20.24,109.72,41484,22.64,18.61,387,,,
m,5,19.48,112.60,40458,21.96,16.60,311,,,
m,5,16.22,104.93,39533,17.92,14.12,321,,,
m,5,127.39,847.78,436626,178.90,206.47,3003,,,
m,5,26.09,125.24,41473,28.04,20.77,395,,,
m,5,25.42,136.10,46000,27.28,20.41,451,,,
m,5,17.54,92.71,40835,20.58,17.83,397,,,
m,5,21.27,92.79,29661,23.20,17.56,349,,,
m,5,28.22,131.52,44128,31.04,24.34,489,,,
m,5,26.98,129.13,42766,29.11,21.69,434,,,
m,5,113.35,690.09,378806,171.83,229.42,2440,,,
m,5,24.94,120.79,41339,27.78,21.85,479,,,
m,5,27.74,161.82,60889,32.12,26.01,493,,,
m,5,20.76,89.87,28906,23.16,17.69,313,,,
m,5,19.41,90.34,31144,22.18,16.38,302,,,
m,5,14.01,80.41,27528,16.42,12.06,309,,,
m,5,15.28,68.47,22287,17.45,12.53,227,,,
m,5,16.48,91.92,34643,19.94,15.76,312,,,
m,5,16.35,86.45,32485,19.92,16.06,273,,,
m,5,13.85,75.22,28849,17.40,14.70,241,,,
m,5,19.14,99.62,36575,22.52,17.80,308,,,
m,5,14.09,79.91,34296,18.45,16.80,245,,,
m,5,13.80,63.42,24911,17.86,17.00,260,,,
m,5,13.66,97.26,41809,17.64,15.81,314,,,
m,5,16.64,89.33,36414,21.44,19.21,298,,,
m,5,14.46,70.90,28012,18.61,16.38,247,,,
m,5,13.82,68.21,26977,17.85,15.76,219,,,
m,5,20.11,153.74,79228,26.77,25.41,565,,,
m,5,17.33,68.73,24068,21.04,17.29,218,,,
m,5,17.35,85.21,30640,20.68,16.22,276,,,
m,5,34.40,189.17,73853,38.86,29.00,659,,,
m,5,19.22,116.66,56037,25.33,23.87,374,,,
m,5,29.62,179.64,67168,33.69,26.56,703,,,
m,5,31.31,189.10,71492,35.58,28.29,623,,,
m,5,31.61,182.09,68143,35.65,27.36,581,,,
m,5,29.05,167.75,62762,32.93,25.30,553,,,
m,5,17.86,79.42,26471,20.21,15.22,248,,,
m,5,30.04,144.92,51517,34.20,26.12,635,,,
m,5,26.93,255.14,96918,29.24,23.47,593,,,
m,5,31.69,204.11,78867,35.91,27.59,651,,,
m,5,30.95,162.93,59753,35.28,26.89,734,,,
m,5,33.40,248.78,95726,37.09,29.43,778,,,
m,5,16.61,74.56,26828,20.00,16.18,345,,,
m,5,17.53,78.92,28852,21.69,18.14,242,,,
m,5,16.30,82.01,33740,21.16,19.09,273,,,
m,5,14.18,64.59,22906,17.77,14.42,271,,,
m,5,22.38,89.13,29989,25.51,19.33,307,,,
m,5,17.65,81.98,30478,21.53,17.72,304,,,
m,5,18.01,84.29,31807,22.29,18.66,301,,,
m,5,18.48,138.57,63612,23.86,20.08,409,,,
m,5,14.72,88.68,35325,18.63,15.88,334,,,
m,5,17.06,74.31,25384,20.21,15.90,229,,,
m,5,22.02,99.76,36173,25.99,20.82,383,,,
m,5,16.84,65.76,21033,19.43,14.86,208,,,
m,5,16.61,81.78,30902,20.64,17.44,321,,,
m,5,15.03,76.89,29328,19.00,16.47,281,,,
m,5,15.47,77.62,29713,19.68,17.33,237,,,
m,5,13.97,63.99,21907,17.22,13.85,171,,,
m,5,17.04,71.92,25709,20.61,17.03,270,,,
m,5,35.55,237.41,95045,39.74,31.81,926,,,
m,5,15.22,92.93,29514,16.18,11.99,309,,,
m,5,29.15,170.11,66183,33.15,24.82,531,,,
m,5,25.85,131.91,47147,29.26,22.64,445,,,
m,5,27.83,124.85,40871,29.84,22.87,498,,,
m,5,21.48,151.52,51472,22.58,17.58,474,,,
m,5,31.51,156.71,52558,33.77,26.28,575,,,
m,5,24.55,150.10,56639,27.79,20.91,461,,,
m,5,27.24,137.17,49395,30.92,23.77,525,,,
m,5,34.72,189.76,63231,36.38,25.70,700,,,
m,5,32.83,169.78,55449,34.37,24.93,706,,,
m,5,34.65,37.76,4807,36.92,25.01,207,,,
m,5,19.38,212.49,81366,21.13,17.02,619,,,
m,5,28.50,147.75,48508,30.40,22.95,602,,,
m,5,21.16,185.64,79947,24.09,20.54,519,,,
m,5,31.07,106.93,30627,31.30,23.52,404,,,
m,5,24.64,97.61,31724,27.45,22.26,297,,,
m,5,31.83,102.89,29965,32.70,24.83,471,,,
m,5,17.32,97.43,35744,21.01,16.95,315,,,
m,5,15.77,64.15,19821,17.76,13.46,222,,,
m,5,32.77,119.83,36538,34.34,26.54,474,,,
m,5,29.93,115.46,36597,31.99,25.24,455,,,
m,5,18.96,80.28,24791,20.78,15.32,263,,,
m,5,39.61,232.30,73709,42.45,33.88,874,,,
m,5,24.89,274.60,98211,26.67,23.14,666,,,
m,5,30.19,185.93,56982,32.21,25.53,630,,,
m,5,29.39,178.57,54714,30.96,24.34,588,,,
m,5,18.12,291.37,107019,18.46,17.93,618,,,
m,5,25.20,259.03,80465,25.20,21.02,762,,,
m,5,18.78,164.86,48877,18.88,14.22,404,,,
m,5,16.65,144.79,59483,19.45,14.67,382,,,
m,5,32.59,216.92,68606,34.93,27.90,691,,,
m,5,31.41,236.78,77530,32.93,26.69,753,,,
m,5,19.57,79.39,25939,22.34,17.50,320,,,
m,5,21.59,81.40,25822,24.18,18.87,371,,,
m,5,26.54,95.67,29900,29.56,23.42,482,,,
m,5,16.21,68.41,21431,18.67,14.24,271,,,
m,5,18.74,70.74,22629,21.55,16.88,295,,,
m,5,18.81,74.19,24677,21.89,17.43,244,,,
m,5,14.02,62.67,22126,17.34,13.56,234,,,
m,5,13.58,66.74,23661,16.94,13.91,345,,,
m,5,9.49,26.19,3527,9.14,5.56,94,,,
m,5,11.02,44.40,3855,10.92,6.55,135,,,
m,5,15.88,38.42,308,9.79,11.39,99,,,
m,5,9.54,40.87,2076,6.95,5.36,92,,,
m,5,18.67,33.37,4177,21.27,13.61,148,,,
m,5,21.41,83.14,20664,22.48,16.51,284,,,
m,5,18.01,65.87,15850,18.78,13.02,259,,,
m,5,22.45,90.15,22337,23.56,17.65,280,,,
m,5,15.46,60.94,13623,16.07,10.73,214,,,
m,5,10.95,39.29,7538,11.06,6.60,131,,,
m,5,11.30,41.08,7460,11.31,6.77,162,,,
m,5,14.17,56.30,11587,14.53,9.46,197,,,
m,5,12.61,49.76,9161,12.68,7.92,151,,,
m,5,12.65,50.60,9697,12.77,8.20,193,,,
m,5,16.02,61.93,13339,16.53,11.28,221,,,
m,5,18.26,130.30,55865,22.96,19.17,380,,,
m,5,20.47,98.03,36210,24.73,19.94,433,,,
m,5,18.28,87.78,32213,22.10,17.59,276,,,
m,5,15.06,80.86,31357,18.98,15.82,264,,,
m,5,14.64,92.91,40126,19.01,17.29,281,,,
m,5,15.79,89.89,38768,20.39,18.40,274,,,
m,5,16.46,97.73,42941,21.44,19.70,301,,,
m,5,22.33,115.05,37737,24.25,20.67,465,,,
m,5,33.10,186.20,57507,34.34,26.15,589,,,
m,5,31.60,195.67,61172,33.25,25.56,693,,,
m,5,34.23,221.15,70299,34.91,28.29,771,,,
m,5,40.71,216.17,67776,42.73,33.29,904,,,
m,5,22.84,130.73,38418,23.16,17.68,489,,,
m,5,29.61,151.91,44731,31.26,24.11,559,,,
m,5,24.21,155.29,46878,24.51,19.79,577,,,
m,5,22.37,187.61,63965,24.22,19.90,501,,,
m,5,27.62,201.83,62651,27.46,23.17,709,,,
m,5,18.93,84.22,27441,22.02,17.11,371,,,
m,5,19.79,76.25,22899,22.23,17.45,291,,,
m,5,18.57,83.46,27053,21.77,17.29,265,,,
m,5,17.90,72.89,22438,19.96,15.52,307,,,
m,5,24.58,101.23,31773,26.73,20.48,390,,,
m,5,24.57,89.33,27049,26.56,20.35,341,,,
m,5,26.98,113.08,35791,29.09,22.54,512,,,
m,5,18.83,83.46,27304,21.87,17.41,395,,,
m,5,26.56,123.51,42170,30.17,24.53,434,,,
m,5,28.27,128.77,43402,31.00,23.50,457,,,
m,5,14.60,73.60,21789,15.18,10.35,280,,,
m,5,20.10,79.76,24540,21.59,15.11,293,,,
m,5,12.96,104.21,42145,16.08,12.80,299,,,
m,5,12.03,54.47,16563,14.33,10.88,173,,,
m,5,12.45,85.11,31594,15.27,12.17,389,,,
m,5,11.26,66.48,22462,13.56,10.15,193,,,
m,5,14.60,70.90,20605,15.26,10.47,236,,,
m,5,22.24,112.19,36460,23.88,17.55,357,,,
m,5,23.27,32.50,4416,26.16,17.19,216,,,
m,5,12.70,95.81,38875,14.38,10.56,268,,,
m,5,24.79,139.64,43813,26.32,19.65,485,,,
m,5,17.03,138.22,40717,17.13,12.70,344,,,
m,5,30.21,189.93,70174,33.87,24.73,513,,,
m,5,28.45,160.41,56563,31.79,24.33,457,,,
m,5,22.84,120.16,40872,25.49,18.83,434,,,
m,5,17.20,124.29,36183,16.62,14.70,388,,,
m,5,22.80,104.35,33895,24.43,18.36,443,,,
m,5,25.57,122.25,40161,27.45,21.30,444,,,
m,5,29.08,150.95,52268,31.55,24.55,432,,,
m,5,25.96,107.73,33857,27.25,20.80,494,,,
m,6,23.60,177.31,64628,25.62,19.63,628,,,
m,6,30.11,127.30,44269,33.83,25.90,552,,,
m,6,19.86,98.65,28267,21.75,15.59,320,,,
m,6,27.21,38.12,5074,30.71,20.50,205,,,
m,6,26.56,153.46,55647,29.51,21.47,535,,,
m,6,29.75,178.12,63834,33.01,24.54,634,,,
m,6,23.90,176.01,63747,26.51,19.57,486,,,
m,6,29.03,255.87,92191,30.98,24.11,646,,,
m,6,37.40,228.90,88262,41.27,31.09,705,,,
m,6,39.54,270.10,97230,42.11,32.55,914,,,
m,6,29.71,211.83,74674,31.49,24.29,655,,,
m,6,34.08,229.62,80784,36.04,27.50,689,,,
m,6,34.06,251.33,90590,35.93,28.43,712,,,
m,6,22.11,76.34,23153,24.52,18.18,314,,,
m,6,16.85,70.38,22295,20.12,15.53,279,,,
m,6,16.76,66.44,21303,20.32,15.80,243,,,
m,6,16.07,70.69,21470,18.72,13.71,394,,,
m,6,24.07,174.24,66500,27.31,21.65,575,,,
m,6,33.45,120.76,38087,35.95,26.50,418,,,
m,6,39.88,205.93,71752,42.38,29.20,632,,,
m,6,22.06,147.17,46283,22.07,16.61,535,,,
m,6,18.16,217.30,56867,15.72,15.03,511,,,
m,6,29.57,120.66,37262,31.01,23.16,458,,,
m,6,19.52,101.34,36390,23.58,18.52,332,,,
m,6,29.36,116.84,37933,32.11,23.82,494,,,
m,6,23.97,127.05,41384,25.67,18.31,393,,,
m,6,21.79,115.85,39577,24.31,17.78,430,,,
m,6,26.32,148.51,54814,30.08,22.96,521,,,
m,6,25.87,149.48,52017,28.90,21.96,576,,,
m,6,24.39,142.09,49541,26.82,19.40,473,,,
m,6,20.60,129.32,46332,23.21,17.60,411,,,
m,6,23.39,123.97,44055,26.47,19.87,420,,,
m,6,23.11,102.74,32542,25.38,18.56,473,,,
m,6,21.96,115.62,41484,24.19,18.76,425,,,
m,6,20.94,118.06,40458,23.22,16.65,312,,,
m,6,17.60,111.11,39533,19.18,14.42,412,,,
m,6,146.03,908.61,436626,196.91,209.99,2998,,,
m,6,27.10,128.11,41473,29.03,20.79,492,,,
m,6,26.43,139.36,46000,28.26,20.40,451,,,
m,6,19.01,97.87,40835,21.99,18.16,397,,,
m,6,22.55,96.25,29661,24.40,17.55,349,,,
m,6,29.68,135.46,44128,32.35,24.30,489,,,
m,6,28.12,132.36,42766,30.18,21.62,434,,,
m,6,130.80,742.12,378806,189.80,237.47,2752,,,
m,6,26.45,125.16,41339,29.10,21.81,418,,,
m,6,29.55,168.00,60889,33.68,26.25,625,,,
m,6,22.20,93.75,28906,24.44,17.75,313,,,
m,6,20.32,93.06,31144,23.13,16.35,302,,,
m,6,15.26,85.74,27528,17.50,12.19,309,,,
m,6,16.36,71.90,22287,18.49,12.64,227,,,
m,6,17.91,97.41,34643,21.24,15.95,313,,,
m,6,17.86,91.90,32485,21.30,16.25,272,,,
m,6,15.27,80.96,28849,18.86,15.08,341,,,
m,6,20.54,104.34,36575,23.78,17.96,378,,,
m,6,15.79,86.97,34296,20.34,17.44,321,,,
m,6,15.66,69.68,24911,19.92,17.75,260,,,
m,6,15.50,107.00,41809,19.50,16.37,296,,,
m,6,18.44,95.84,36414,23.37,19.78,388,,,
m,6,16.11,76.72,28012,20.34,16.83,238,,,
m,6,15.41,73.97,26977,19.55,16.29,227,,,
m,6,22.01,163.04,79228,28.99,26.02,565,,,
m,6,18.89,72.78,24068,22.52,17.43,218,,,
m,6,18.73,89.75,30640,21.95,16.40,276,,,
m,6,35.47,192.50,73853,39.95,28.95,659,,,
m,6,21.01,123.64,56037,27.42,24.42,390,,,
m,6,30.66,183.33,67168,34.78,26.60,699,,,
m,6,32.40,192.88,71492,36.73,28.36,623,,,
m,6,32.61,185.40,68143,36.68,27.31,581,,,
m,6,30.10,171.28,62762,33.99,25.30,553,,,
m,6,18.83,82.27,26471,21.23,15.36,248,,,
m,6,31.09,147.82,51517,35.29,26.10,635,,,
m,6,27.99,261.19,96918,30.27,23.48,593,,,
m,6,32.66,207.71,78867,36.89,27.48,651,,,
m,6,31.94,165.95,59753,36.32,26.87,734,,,
m,6,34.57,253.77,95726,38.26,29.51,778,,,
m,6,18.27,79.57,26828,21.61,16.39,345,,,
m,6,19.24,83.99,28852,23.36,18.40,349,,,
m,6,17.92,87.57,33740,22.94,19.51,326,,,
m,6,15.69,69.58,22906,19.26,14.70,271,,,
m,6,23.50,91.85,29989,26.66,19.31,307,,,
m,6,19.34,87.16,30478,23.18,17.92,304,,,
m,6,19.69,89.43,31807,23.93,18.95,372,,,
m,6,20.21,147.10,63612,25.57,20.44,442,,,
m,6,16.51,96.41,35325,20.45,16.42,346,,,
m,6,18.43,78.31,25384,21.52,16.15,433,,,
m,6,23.48,103.82,36173,27.37,20.87,383,,,
m,6,18.19,69.29,21033,20.68,14.89,274,,,
m,6,18.20,87.06,30902,22.21,17.78,341,,,
m,6,16.82,83.36,29328,20.80,16.95,313,,,
m,6,17.29,83.94,29713,21.55,17.89,338,,,
m,6,15.67,69.67,21907,18.84,14.23,278,,,
m,6,18.75,76.71,25709,22.28,17.21,270,,,
m,6,36.82,242.21,95045,40.97,31.86,926,,,
m,6,16.15,97.02,29514,17.03,12.21,309,,,
m,6,29.97,172.91,66183,33.99,24.84,531,,,
m,6,26.87,135.01,47147,30.32,22.66,445,,,
m,6,28.94,127.74,40871,30.94,22.91,498,,,
m,6,22.70,157.00,51472,23.64,17.71,447,,,
m,6,32.74,160.19,52558,34.98,26.32,575,,,
m,6,25.47,153.55,56639,28.76,20.99,461,,,
m,6,28.26,140.19,49395,32.00,23.78,525,,,
m,6,35.82,193.12,63231,37.35,25.60,700,,,
m,6,33.88,172.88,55449,35.36,24.93,706,,,
m,6,35.86,38.03,4807,38.10,24.79,207,,,
m,6,21.16,225.23,81366,22.47,17.32,619,,,
m,6,29.99,152.25,48508,31.64,22.91,602,,,
m,6,22.59,193.62,79947,25.37,20.67,519,,,
m,6,32.38,109.43,30627,32.50,23.41,404,,,
m,6,27.01,103.08,31724,29.27,22.23,297,,,
m,6,33.45,105.73,29965,34.03,24.74,471,,,
m,6,19.27,104.71,35744,22.68,17.11,315,,,
m,6,17.39,68.64,19821,19.04,13.42,222,,,
m,6,34.30,122.89,36538,35.70,26.46,474,,,
m,6,31.69,119.28,36597,33.45,25.27,455,,,
m,6,20.55,84.58,24791,22.07,15.29,263,,,
m,6,41.10,237.12,73709,43.83,34.10,874,,,
m,6,27.03,288.93,98211,28.37,23.58,787,,,
m,6,31.52,190.69,56982,33.48,25.67,630,,,
m,6,30.48,182.45,54714,31.98,24.42,589,,,
m,6,19.52,306.49,107019,19.44,18.39,631,,,
m,6,26.60,267.81,80465,26.38,21.60,762,,,
m,6,19.75,170.51,48877,19.70,14.43,404,,,
m,6,17.66,150.88,59483,20.31,14.81,382,,,
m,6,34.31,223.45,68606,36.39,27.98,691,,,
m,6,32.97,243.57,77530,34.28,26.86,753,,,
m,6,21.02,83.09,25939,23.64,17.62,363,,,
m,6,23.07,84.80,25822,25.51,18.86,347,,,
m,6,28.13,98.97,29900,30.97,23.42,482,,,
m,6,17.67,72.60,21431,19.94,14.30,271,,,
m,6,20.16,74.16,22629,22.87,16.99,295,,,
m,6,20.47,78.34,24677,23.35,17.52,284,,,
m,6,15.19,66.55,22126,18.54,13.77,234,,,
m,6,15.16,72.52,23661,18.49,14.31,345,,,
m,6,11.02,30.17,3527,10.33,6.09,117,,,
m,6,12.30,48.77,3855,11.86,6.74,148,,,
m,6,23.50,48.68,308,15.54,19.63,127,,,
m,6,13.41,55.30,2076,8.79,7.91,104,,,
m,6,19.99,34.66,4177,22.27,13.40,154,,,
m,6,22.73,86.29,20664,23.85,16.46,284,,,
m,6,19.17,68.62,15850,19.95,12.99,259,,,
m,6,23.83,93.52,22337,24.99,17.58,280,,,
m,6,16.48,63.74,13623,17.04,10.84,214,,,
m,6,12.03,42.62,7538,11.94,6.81,140,,,
m,6,12.37,44.35,7460,12.20,7.07,162,,,
m,6,15.20,59.27,11587,15.48,9.46,197,,,
m,6,13.67,53.02,9161,13.60,8.10,148,,,
m,6,13.65,53.73,9697,13.62,8.32,193,,,
m,6,17.11,64.82,13339,17.58,11.33,221,,,
m,6,19.98,138.43,55865,24.62,19.46,514,,,
m,6,22.03,102.75,36210,26.14,20.01,433,,,
m,6,19.77,92.43,32213,23.46,17.78,312,,,
m,6,16.62,86.82,31357,20.50,16.19,345,,,
m,6,16.29,100.45,40126,20.80,17.87,281,,,
m,6,17.38,96.18,38768,22.13,18.90,262,,,
m,6,18.07,104.26,42941,23.22,20.19,362,,,
m,6,24.13,120.76,37737,25.90,20.90,465,,,
m,6,34.06,189.29,57507,35.14,26.13,589,,,
m,6,32.84,200.08,61172,34.36,25.79,984,,,
m,6,35.38,225.37,70299,35.95,28.69,771,,,
m,6,41.82,219.42,67776,43.64,33.42,904,,,
m,6,23.79,134.12,38418,24.01,17.78,489,,,
m,6,30.74,155.24,44731,32.33,24.18,559,,,
m,6,25.21,159.21,46878,25.39,19.88,577,,,
m,6,23.98,196.02,63965,25.46,20.02,501,,,
m,6,28.76,206.76,62651,28.44,23.38,709,,,
m,6,20.43,88.51,27441,23.40,17.28,371,,,
m,6,21.43,80.19,22899,23.66,17.58,295,,,
m,6,20.04,87.74,27053,23.13,17.36,265,,,
m,6,19.33,76.69,22438,21.25,15.74,330,,,
m,6,25.91,104.48,31773,27.98,20.49,390,,,
m,6,25.83,92.01,27049,27.77,20.31,341,,,
m,6,28.61,117.04,35791,30.44,22.41,512,,,
m,6,20.34,87.76,27304,23.23,17.55,395,,,
m,6,28.33,128.31,42170,31.72,24.64,587,,,
m,6,29.55,132.15,43402,32.23,23.40,457,,,
m,6,15.59,77.22,21789,16.09,10.59,296,,,
m,6,21.07,82.18,24540,22.56,15.07,295,,,
m,6,14.61,114.41,42145,17.54,13.33,333,,,
m,6,13.52,59.84,16563,15.66,11.21,189,,,
m,6,13.97,93.32,31594,16.66,12.65,389,,,
m,6,12.70,73.64,22462,14.82,10.48,254,,,
m,6,15.62,74.49,20605,16.21,10.73,262,,,
m,6,23.22,115.27,36460,24.82,17.51,357,,,
m,6,24.27,33.09,4416,27.17,17.05,216,,,
m,6,13.84,102.58,38875,15.35,10.88,268,,,
m,6,26.05,143.93,43813,27.38,19.70,485,,,
m,6,18.13,144.34,40717,17.96,12.90,335,,,
m,6,31.12,193.27,70174,34.80,24.67,540,,,
m,6,29.49,163.87,56563,32.84,24.24,457,,,
m,6,23.78,123.21,40872,26.46,18.86,434,,,
m,6,18.52,130.81,36183,17.75,15.10,388,,,
m,6,24.10,107.98,33895,25.60,18.49,443,,,
m,6,26.86,125.90,40161,28.58,21.31,444,,,
m,6,31.01,156.71,52268,33.29,24.43,442,,,
m,6,27.53,111.54,33857,28.64,20.78,494,,,
m,7,24.43,181.40,64628,26.43,19.73,628,,,
m,7,31.17,129.98,44269,34.93,25.89,552,,,
m,7,20.83,101.99,28267,22.73,15.60,320,,,
