Pop1,Latitude,Longitude,Pop2,Latitude,Longitude,Distance,Fst,
SE-Nass,57.6520910,14.6974190,IE,53.4129000,-8.2439000,1611.827768,0.300475,
SE-Karl,59.4013320,13.5125290,Sl-Sko,45.5710000,13.7924000,928.8563842,0.300206,
Sl-Sko,45.5710000,13.7924000,SE-Karl,59.4013320,13.5125290,928.8563842,0.300206,
IS-Rey,64.1000000,-21.8000000,SE-Halm,56.6732080,12.8572190,2447.471217,0.29779,
SE-Halm,56.6732080,12.8572190,IS-Rey,64.1000000,-21.8000000,2447.471217,0.29779,
IS-Rey,64.1000000,-21.8000000,SE-Nass,57.6520910,14.6974190,2559.846698,0.296199,
SE-Nass,57.6520910,14.6974190,IS-Rey,64.1000000,-21.8000000,2559.846698,0.296199,
IT-Cal,38.1144388,15.6500000,SE-Karl,59.4013320,13.5125290,1430.735495,0.295215,
SE-Karl,59.4013320,13.5125290,IT-Cal,38.1144388,15.6500000,1430.735495,0.295215,
ES-Cuen,40.0202690,-1.8215450,IE-Down,54.3277000,-5.7158000,1022.471192,0.293868,
IE-Down,54.3277000,-5.7158000,ES-Cuen,40.0202690,-1.8215450,1022.471192,0.293868,
IS-Horn,64.3858000,-15.2892000,SE-Karl,59.4013320,13.5125290,2019.391098,0.292449,
SE-Karl,59.4013320,13.5125290,IS-Horn,64.3858000,-15.2892000,2019.391098,0.292449,
ES-Cuen,40.0202690,-1.8215450,IS-Horn,64.3858000,-15.2892000,1903.741309,0.29027,
IS-Horn,64.3858000,-15.2892000,ES-Cuen,40.0202690,-1.8215450,1903.741309,0.29027,
IE-Down,54.3277000,-5.7158000,SE-Karl,59.4013320,13.5125290,1373.682206,0.288848,
SE-Karl,59.4013320,13.5125290,IE-Down,54.3277000,-5.7158000,1373.682206,0.288848,
IT-Abruz,42.4576000,13.9275000,SE-Nass,57.6520910,14.6974190,1018.668465,0.287446,
SE-Nass,57.6520910,14.6974190,IT-Abruz,42.4576000,13.9275000,1018.668465,0.287446,
IT-Abruz,42.4576000,13.9275000,SE-Halm,56.6732080,12.8572190,958.4084443,0.286192,
SE-Halm,56.6732080,12.8572190,IT-Abruz,42.4576000,13.9275000,958.4084443,0.286192,
IT-Aspr,38.1666700,16.0000000,SE-Halm,56.6732080,12.8572190,1256.993917,0.285718,
SE-Halm,56.6732080,12.8572190,IT-Aspr,38.1666700,16.0000000,1256.993917,0.285718,
PL-Bory,53.7994342,17.5422478,SE-Karl,59.4013320,13.5125290,465.4139928,0.285651,
SE-Karl,59.4013320,13.5125290,PL-Bory,53.7994342,17.5422478,465.4139928,0.285651,
ES-Cuen,40.0202690,-1.8215450,Sl-Sko,45.5710000,13.7924000,1144.100111,0.284953,
Sl-Sko,45.5710000,13.7924000,ES-Cuen,40.0202690,-1.8215450,1144.100111,0.284953,
IT-Aspr,38.1666700,16.0000000,SE-Nass,57.6520910,14.6974190,1301.210784,0.284714,
SE-Nass,57.6520910,14.6974190,IT-Aspr,38.1666700,16.0000000,1301.210784,0.284714,
DK,56.2639000,9.5018000,SE-Halm,56.6732080,12.8572190,233.5405884,0.280932,
SE-Halm,56.6732080,12.8572190,DK,56.2639000,9.5018000,233.5405884,0.280932,
DK,56.2639000,9.5018000,SE-Nass,57.6520910,14.6974190,371.1009531,0.280589,
SE-Nass,57.6520910,14.6974190,DK,56.2639000,9.5018000,371.1009531,0.280589,
IE-Down,54.3277000,-5.7158000,RS,44.7317030,20.4075950,1919.353491,0.279502,
RS,44.7317030,20.4075950,IE-Down,54.3277000,-5.7158000,1919.353491,0.279502,
DK,56.2639000,9.5018000,Sl-Sko,45.5710000,13.7924000,781.9190999,0.279024,
Sl-Sko,45.5710000,13.7924000,DK,56.2639000,9.5018000,781.9190999,0.279024,
DK,56.2639000,9.5018000,IS-Horn,64.3858000,-15.2892000,1801.260416,0.278064,
IS-Horn,64.3858000,-15.2892000,DK,56.2639000,9.5018000,1801.260416,0.278064,
ES-Cuen,40.0202690,-1.8215450,IT-Cal,38.1144388,15.6500000,1214.426913,0.278062,
IT-Cal,38.1144388,15.6500000,ES-Cuen,40.0202690,-1.8215450,1214.426913,0.278062,
FR-Port,43.0036000,6.3944000,Sl-Sko,45.5710000,13.7924000,540.2367725,0.277546,
Sl-Sko,45.5710000,13.7924000,FR-Port,43.0036000,6.3944000,540.2367725,0.277546,
FR-Port,43.0036000,6.3944000,IT-Cal,38.1144388,15.6500000,720.3169894,0.276842,
IT-Cal,38.1144388,15.6500000,FR-Port,43.0036000,6.3944000,720.3169894,0.276842,
IS-Rey,64.1000000,-21.8000000,PL-Bory,53.7994342,17.5422478,2806.802126,0.276643,
PL-Bory,53.7994342,17.5422478,IS-Rey,64.1000000,-21.8000000,2806.802126,0.276643,
DK,56.2639000,9.5018000,IT-Cal,38.1144388,15.6500000,1294.951295,0.276463,
IT-Cal,38.1144388,15.6500000,DK,56.2639000,9.5018000,1294.951295,0.276463,
IE,53.4129000,-8.2439000,PL-Bory,53.7994342,17.5422478,1782.227029,0.276036,
PL-Bory,53.7994342,17.5422478,IE,53.4129000,-8.2439000,1782.227029,0.276036,
IE,53.4129000,-8.2439000,Sl-Sko,45.5710000,13.7924000,1615.099018,0.275747,
Sl-Sko,45.5710000,13.7924000,IE,53.4129000,-8.2439000,1615.099018,0.275747,
IS-Horn,64.3858000,-15.2892000,RS,44.7317030,20.4075950,2804.727697,0.275295,
RS,44.7317030,20.4075950,IS-Horn,64.3858000,-15.2892000,2804.727697,0.275295,
FR-Port,43.0036000,6.3944000,SE-Karl,59.4013320,13.5125290,1218.928879,0.273995,
SE-Karl,59.4013320,13.5125290,FR-Port,43.0036000,6.3944000,1218.928879,0.273995,
IS-Rey,64.1000000,-21.8000000,Sl-Sko,45.5710000,13.7924000,2761.912375,0.273842,
Sl-Sko,45.5710000,13.7924000,IS-Rey,64.1000000,-21.8000000,2761.912375,0.273842,
PT-Cast,39.7010980,-7.3040680,SE-Halm,56.6732080,12.8572190,1816.441803,0.273333,
SE-Halm,56.6732080,12.8572190,PT-Cast,39.7010980,-7.3040680,1816.441803,0.273333,
FR-Port,43.0036000,6.3944000,IS-Rey,64.1000000,-21.8000000,2416.338178,0.273306,
IS-Rey,64.1000000,-21.8000000,FR-Port,43.0036000,6.3944000,2416.338178,0.273306,
RS,44.7317030,20.4075950,SE-Karl,59.4013320,13.5125290,1079.573374,0.273282,
SE-Karl,59.4013320,13.5125290,RS,44.7317030,20.4075950,1079.573374,0.273282,
PL-Bory,53.7994342,17.5422478,PT-Cast,39.7010980,-7.3040680,1968.469188,0.272413,
PT-Cast,39.7010980,-7.3040680,PL-Bory,53.7994342,17.5422478,1968.469188,0.272413,
PT-Cast,39.7010980,-7.3040680,SE-Nass,57.6520910,14.6974190,1955.824416,0.272018,
SE-Nass,57.6520910,14.6974190,PT-Cast,39.7010980,-7.3040680,1955.824416,0.272018,
IE,53.4129000,-8.2439000,IT-Cal,38.1144388,15.6500000,1955.337226,0.271645,
IT-Cal,38.1144388,15.6500000,IE,53.4129000,-8.2439000,1955.337226,0.271645,
IS-Rey,64.1000000,-21.8000000,IT-Cal,38.1144388,15.6500000,3130.019222,0.270522,
IT-Cal,38.1144388,15.6500000,IS-Rey,64.1000000,-21.8000000,3130.019222,0.270522,
DK,56.2639000,9.5018000,IE-Down,54.3277000,-5.7158000,1060.078586,0.269823,
IE-Down,54.3277000,-5.7158000,DK,56.2639000,9.5018000,1060.078586,0.269823,
DK,56.2639000,9.5018000,FR-Port,43.0036000,6.3944000,932.4981495,0.268656,
FR-Port,43.0036000,6.3944000,DK,56.2639000,9.5018000,932.4981495,0.268656,
IE,53.4129000,-8.2439000,IS-Horn,64.3858000,-15.2892000,887.3181107,0.267744,
IS-Horn,64.3858000,-15.2892000,IE,53.4129000,-8.2439000,887.3181107,0.267744,
IS-Horn,64.3858000,-15.2892000,PT-Cast,39.7010980,-7.3040680,1759.605176,0.266805,
PT-Cast,39.7010980,-7.3040680,IS-Horn,64.3858000,-15.2892000,1759.605176,0.266805,
FR-Port,43.0036000,6.3944000,IE,53.4129000,-8.2439000,1240.128163,0.266762,
IE,53.4129000,-8.2439000,FR-Port,43.0036000,6.3944000,1240.128163,0.266762,
PL-Bory,53.7994342,17.5422478,RS,44.7317030,20.4075950,624.6691433,0.266338,
RS,44.7317030,20.4075950,PL-Bory,53.7994342,17.5422478,624.6691433,0.266338,
ES-Sal,40.9777810,-5.9651370,PL-Bory,53.7994342,17.5422478,1845.264139,0.265967,
PL-Bory,53.7994342,17.5422478,ES-Sal,40.9777810,-5.9651370,1845.264139,0.265967,
ES-Sal,40.9777810,-5.9651370,SE-Halm,56.6732080,12.8572190,1689.255971,0.265785,
SE-Halm,56.6732080,12.8572190,ES-Sal,40.9777810,-5.9651370,1689.255971,0.265785,
ES-Sal,40.9777810,-5.9651370,IS-Horn,64.3858000,-15.2892000,1713.389448,0.26514,
IS-Horn,64.3858000,-15.2892000,ES-Sal,40.9777810,-5.9651370,1713.389448,0.26514,
ES-Sal,40.9777810,-5.9651370,SE-Nass,57.6520910,14.6974190,1828.808776,0.264548,
SE-Nass,57.6520910,14.6974190,ES-Sal,40.9777810,-5.9651370,1828.808776,0.264548,
