Pop1,Latitude,Longitude,Pop2,Latitude,Longitude,Distance,Fst,
EN-Cornwall,50.4617000,-4.7347000,FR-Port,43.0036000,6.3944000,925.3605585,0.202233,
FR-Port,43.0036000,6.3944000,EN-Cornwall,50.4617000,-4.7347000,925.3605585,0.202233,
FR-Cap,43.1597180,6.6210730,SE-Halm,56.6732080,12.8572190,1015.827237,0.201828,
SE-Halm,56.6732080,12.8572190,FR-Cap,43.1597180,6.6210730,1015.827237,0.201828,
EN-Cornwall,50.4617000,-4.7347000,IT-Cal,38.1144388,15.6500000,1642.628429,0.201745,
IT-Cal,38.1144388,15.6500000,EN-Cornwall,50.4617000,-4.7347000,1642.628429,0.201745,
FR-Clerm,46.0811000,3.0321000,PL-Bory,53.7994342,17.5422478,1131.08465,0.201696,
PL-Bory,53.7994342,17.5422478,FR-Clerm,46.0811000,3.0321000,1131.08465,0.201696,
ES-Can,43.3101810,-4.0745710,IS-Horn,64.3858000,-15.2892000,1629.169071,0.201243,
IS-Horn,64.3858000,-15.2892000,ES-Can,43.3101810,-4.0745710,1629.169071,0.201243,
FR-Port,43.0036000,6.3944000,PT-Port,41.3194460,-8.7355600,1052.020372,0.20118,
PT-Port,41.3194460,-8.7355600,FR-Port,43.0036000,6.3944000,1052.020372,0.20118,
SC-Inv,57.4574000,-4.2351000,TN,36.7736000,8.6848000,1681.852714,0.201154,
TN,36.7736000,8.6848000,SC-Inv,57.4574000,-4.2351000,1681.852714,0.201154,
EN-Suffolk,52.3362000,0.5246000,ES-Cuen,40.0202690,-1.8215450,866.3240314,0.201062,
ES-Cuen,40.0202690,-1.8215450,EN-Suffolk,52.3362000,0.5246000,866.3240314,0.201062,
FR-Somme,50.0833000,1.5667000,Sl-Sko,45.5710000,13.7924000,899.4272434,0.200935,
Sl-Sko,45.5710000,13.7924000,FR-Somme,50.0833000,1.5667000,899.4272434,0.200935,
IT-Cal,38.1144388,15.6500000,NO-Vest,59.4656000,10.0877000,1487.914054,0.200493,
NO-Vest,59.4656000,10.0877000,IT-Cal,38.1144388,15.6500000,1487.914054,0.200493,
SE-Ska,56.0000000,14.1000000,SE-Halm,56.6732080,12.8572190,97.07343455,0.200344,
SE-Halm,56.6732080,12.8572190,SE-Ska,56.0000000,14.1000000,97.07343455,0.200344,
EN-Worcestershire,52.3748000,-1.9588000,FR-Port,43.0036000,6.3944000,866.7692403,0.200217,
FR-Port,43.0036000,6.3944000,EN-Worcestershire,52.3748000,-1.9588000,866.7692403,0.200217,
ES-Cuen,40.0202690,-1.8215450,NO-Rog,58.9833000,5.5667000,1404.943628,0.200117,
NO-Rog,58.9833000,5.5667000,ES-Cuen,40.0202690,-1.8215450,1404.943628,0.200117,
ES-Ast,43.1700000,-6.5000000,PL-Bory,53.7994342,17.5422478,1813.044811,0.200078,
PL-Bory,53.7994342,17.5422478,ES-Ast,43.1700000,-6.5000000,1813.044811,0.200078,
EN-Cumbria,54.2030000,-2.9520000,ES-Sal,40.9777810,-5.9651370,934.5778042,0.199822,
ES-Sal,40.9777810,-5.9651370,EN-Cumbria,54.2030000,-2.9520000,934.5778042,0.199822,
SE-Ska,56.0000000,14.1000000,SE-Nass,57.6520910,14.6974190,118.0414112,0.199724,
SE-Nass,57.6520910,14.6974190,SE-Ska,56.0000000,14.1000000,118.0414112,0.199724,
FR-Clerm,46.0811000,3.0321000,IE-Down,54.3277000,-5.7158000,830.3401938,0.199704,
IE-Down,54.3277000,-5.7158000,FR-Clerm,46.0811000,3.0321000,830.3401938,0.199704,
FR-Bany,42.4822000,3.1275000,IE-Down,54.3277000,-5.7158000,1020.763885,0.199437,
IE-Down,54.3277000,-5.7158000,FR-Bany,42.4822000,3.1275000,1020.763885,0.199437,
DK-Ribe,55.2850000,8.6856000,ES-Cuen,40.0202690,-1.8215450,1277.870599,0.199344,
ES-Cuen,40.0202690,-1.8215450,DK-Ribe,55.2850000,8.6856000,1277.870599,0.199344,
BE-Namur,50.6474000,4.8720000,ES-Cuen,40.0202690,-1.8215450,867.3836554,0.199307,
ES-Cuen,40.0202690,-1.8215450,BE-Namur,50.6474000,4.8720000,867.3836554,0.199307,
PT-Port,41.3194460,-8.7355600,Sl-Sko,45.5710000,13.7924000,1583.940502,0.199268,
Sl-Sko,45.5710000,13.7924000,PT-Port,41.3194460,-8.7355600,1583.940502,0.199268,
PT-Cast,39.7010980,-7.3040680,SC-Inv,57.4574000,-4.2351000,1238.975466,0.199253,
SC-Inv,57.4574000,-4.2351000,PT-Cast,39.7010980,-7.3040680,1238.975466,0.199253,
DK-Ribe,55.2850000,8.6856000,TN,36.7736000,8.6848000,1264.491217,0.198602,
TN,36.7736000,8.6848000,DK-Ribe,55.2850000,8.6856000,1264.491217,0.198602,
FR-Haute,45.7959000,1.1346000,IS-Horn,64.3858000,-15.2892000,1703.46477,0.198601,
IS-Horn,64.3858000,-15.2892000,FR-Haute,45.7959000,1.1346000,1703.46477,0.198601,
FR-Cap,43.1597180,6.6210730,PL-Bory,53.7994342,17.5422478,1041.514872,0.19824,
PL-Bory,53.7994342,17.5422478,FR-Cap,43.1597180,6.6210730,1041.514872,0.19824,
FR-Somme,50.0833000,1.5667000,IE-Down,54.3277000,-5.7158000,582.3225253,0.198062,
IE-Down,54.3277000,-5.7158000,FR-Somme,50.0833000,1.5667000,582.3225253,0.198062,
EN-Kent,51.1269000,1.2578000,SE-Nass,57.6520910,14.6974190,1030.098916,0.197561,
SE-Halm,56.6732080,12.8572190,EN-Kent,51.1269000,1.2578000,886.9963709,0.197561,
IS-Rey,64.1000000,-21.8000000,SE-Ska,56.0000000,14.1000000,2541.019289,0.197552,
SE-Ska,56.0000000,14.1000000,IS-Rey,64.1000000,-21.8000000,2541.019289,0.197552,
FR-Cotes,48.5452000,-3.3963000,PL-Bory,53.7994342,17.5422478,1490.707378,0.197467,
PL-Bory,53.7994342,17.5422478,FR-Cotes,48.5452000,-3.3963000,1490.707378,0.197467,
SC-Edim,55.9575000,-3.2581000,TN,36.7736000,8.6848000,1558.353648,0.197366,
TN,36.7736000,8.6848000,SC-Edim,55.9575000,-3.2581000,1558.353648,0.197366,
EN-Worcestershire,52.3748000,-1.9588000,SE-Nass,57.6520910,14.6974190,1206.396841,0.197352,
SE-Nass,57.6520910,14.6974190,EN-Worcestershire,52.3748000,-1.9588000,1206.396841,0.197352,
EN-Worcestershire,52.3748000,-1.9588000,RS,44.7317030,20.4075950,1630.111121,0.19734,
RS,44.7317030,20.4075950,EN-Worcestershire,52.3748000,-1.9588000,1630.111121,0.19734,
EN-Worcestershire,52.3748000,-1.9588000,SE-Halm,56.6732080,12.8572190,1065.518388,0.197295,
SE-Halm,56.6732080,12.8572190,EN-Worcestershire,52.3748000,-1.9588000,1065.518388,0.197295,
EN-Kent,51.1269000,1.2578000,PL-Bory,53.7994342,17.5422478,1139.936696,0.19725,
BE-Dalhem,50.7167000,5.7500000,DK,56.2639000,9.5018000,459.9388095,0.19715,
DK,56.2639000,9.5018000,BE-Dalhem,50.7167000,5.7500000,459.9388095,0.19715,
FR-Somme,50.0833000,1.5667000,FR-Port,43.0036000,6.3944000,591.0946447,0.197044,
FR-Port,43.0036000,6.3944000,FR-Somme,50.0833000,1.5667000,591.0946447,0.197044,
DK,56.2639000,9.5018000,EN-Cumbria,54.2030000,-2.9520000,872.2792448,0.196976,
EN-Cumbria,54.2030000,-2.9520000,DK,56.2639000,9.5018000,872.2792448,0.196976,
PT-Cast,39.7010980,-7.3040680,SC-Edim,55.9575000,-3.2581000,1152.831559,0.196902,
SC-Edim,55.9575000,-3.2581000,PT-Cast,39.7010980,-7.3040680,1152.831559,0.196902,
EN-Suffolk,52.3362000,0.5246000,TN,36.7736000,8.6848000,1210.472222,0.196677,
TN,36.7736000,8.6848000,EN-Suffolk,52.3362000,0.5246000,1210.472222,0.196677,
BE-Namur,50.6474000,4.8720000,IT-Aspr,38.1666700,16.0000000,1143.83354,0.196545,
IT-Aspr,38.1666700,16.0000000,BE-Namur,50.6474000,4.8720000,1143.83354,0.196545,
FR-Cotes,48.5452000,-3.3963000,IE-Down,54.3277000,-5.7158000,429.369887,0.19648,
IE-Down,54.3277000,-5.7158000,FR-Cotes,48.5452000,-3.3963000,429.369887,0.19648,
EN-Kent,51.1269000,1.2578000,Sl-Sko,45.5710000,13.7924000,945.8647344,0.196474,
ES-Sal,40.9777810,-5.9651370,SC-Inv,57.4574000,-4.2351000,1140.574472,0.19642,
SC-Inv,57.4574000,-4.2351000,ES-Sal,40.9777810,-5.9651370,1140.574472,0.19642,
FR-Bany,42.4822000,3.1275000,PL-Bory,53.7994342,17.5422478,1257.328474,0.196351,
PL-Bory,53.7994342,17.5422478,FR-Bany,42.4822000,3.1275000,1257.328474,0.196351,
IE-Down,54.3277000,-5.7158000,NO-Rog,58.9833000,5.5667000,843.2866811,0.196089,
NO-Rog,58.9833000,5.5667000,IE-Down,54.3277000,-5.7158000,843.2866811,0.196089,
IE,53.4129000,-8.2439000,WL-Angl,53.2143000,-4.3661000,268.3342313,0.195974,
WL-Angl,53.2143000,-4.3661000,IE,53.4129000,-8.2439000,268.3342313,0.195974,
EN-Worcestershire,52.3748000,-1.9588000,IT-Cal,38.1144388,15.6500000,1558.954892,0.195853,
IT-Cal,38.1144388,15.6500000,EN-Worcestershire,52.3748000,-1.9588000,1558.954892,0.195853,
FR-Cap,43.1597180,6.6210730,RS,44.7317030,20.4075950,958.5647243,0.195647,
RS,44.7317030,20.4075950,FR-Cap,43.1597180,6.6210730,958.5647243,0.195647,
FR-Cap,43.1597180,6.6210730,IS-Rey,64.1000000,-21.8000000,2422.872376,0.195452,
IS-Rey,64.1000000,-21.8000000,FR-Cap,43.1597180,6.6210730,2422.872376,0.195452,
FR-Bany,42.4822000,3.1275000,IT-Cal,38.1144388,15.6500000,915.0035677,0.195389,
IT-Cal,38.1144388,15.6500000,FR-Bany,42.4822000,3.1275000,915.0035677,0.195389,
NO-Rog,58.9833000,5.5667000,TN,36.7736000,8.6848000,1537.840973,0.19525,
TN,36.7736000,8.6848000,NO-Rog,58.9833000,5.5667000,1537.840973,0.19525,
SE-Ska,56.0000000,14.1000000,Sl-Sko,45.5710000,13.7924000,699.7487439,0.195246,
Sl-Sko,45.5710000,13.7924000,SE-Ska,56.0000000,14.1000000,699.7487439,0.195246,
FR-Clerm,46.0811000,3.0321000,SE-Halm,56.6732080,12.8572190,992.5871937,0.195207,
SE-Halm,56.6732080,12.8572190,FR-Clerm,46.0811000,3.0321000,992.5871937,0.195207,
SC-Edim,55.9575000,-3.2581000,SE-Karl,59.4013320,13.5125290,1182.80492,0.19507,
SE-Karl,59.4013320,13.5125290,SC-Edim,55.9575000,-3.2581000,1182.80492,0.19507,
FR-Clerm,46.0811000,3.0321000,SE-Nass,57.6520910,14.6974190,1127.737687,0.195055,
SE-Nass,57.6520910,14.6974190,FR-Clerm,46.0811000,3.0321000,1127.737687,0.195055,
SE-Nass,57.6520910,14.6974190,EN-Kent,51.1269000,1.2578000,1030.098916,0.194963,
DE-Nordfriesland,54.4858000,9.0524000,SE-Halm,56.6732080,12.8572190,301.9217393,0.194414,
SE-Halm,56.6732080,12.8572190,DE-Nordfriesland,54.4858000,9.0524000,301.9217393,0.194414,
DK-Ribe,55.2850000,8.6856000,IS-Rey,64.1000000,-21.8000000,2189.940184,0.194386,
IS-Rey,64.1000000,-21.8000000,DK-Ribe,55.2850000,8.6856000,2189.940184,0.194386,
DE-Nordfriesland,54.4858000,9.0524000,PL-Bory,53.7994342,17.5422478,588.5265009,0.194176,
PL-Bory,53.7994342,17.5422478,DE-Nordfriesland,54.4858000,9.0524000,588.5265009,0.194176,
FR-Bany,42.4822000,3.1275000,IS-Rey,64.1000000,-21.8000000,2258.951043,0.194141,
IS-Rey,64.1000000,-21.8000000,FR-Bany,42.4822000,3.1275000,2258.951043,0.194141,
FR-Somme,50.0833000,1.5667000,PL-Bory,53.7994342,17.5422478,1132.514106,0.194076,
PL-Bory,53.7994342,17.5422478,FR-Somme,50.0833000,1.5667000,1132.514106,0.194076,
ES-Ast,43.1700000,-6.5000000,IE-Down,54.3277000,-5.7158000,768.6032201,0.193872,
IE-Down,54.3277000,-5.7158000,ES-Ast,43.1700000,-6.5000000,768.6032201,0.193872,
EN-Suffolk,52.3362000,0.5246000,SE-Karl,59.4013320,13.5125290,1019.516052,0.193698,
SE-Karl,59.4013320,13.5125290,EN-Suffolk,52.3362000,0.5246000,1019.516052,0.193698,
ES-Sal,40.9777810,-5.9651370,SC-Edim,55.9575000,-3.2581000,1048.574774,0.193424,
SC-Edim,55.9575000,-3.2581000,ES-Sal,40.9777810,-5.9651370,1048.574774,0.193424,
BE-Namur,50.6474000,4.8720000,IT-Abruz,42.4576000,13.9275000,838.2775912,0.19317,
IT-Abruz,42.4576000,13.9275000,BE-Namur,50.6474000,4.8720000,838.2775912,0.19317,
NO-Rog,58.9833000,5.5667000,SE-Halm,56.6732080,12.8572190,527.8693257,0.193055,
SE-Halm,56.6732080,12.8572190,NO-Rog,58.9833000,5.5667000,527.8693257,0.193055,
FR-Cap,43.1597180,6.6210730,IT-Cal,38.1144388,15.6500000,711.4096152,0.192699,
IT-Cal,38.1144388,15.6500000,FR-Cap,43.1597180,6.6210730,711.4096152,0.192699,
DK-Ribe,55.2850000,8.6856000,PT-Cast,39.7010980,-7.3040680,1540.52369,0.192527,
PT-Cast,39.7010980,-7.3040680,DK-Ribe,55.2850000,8.6856000,1540.52369,0.192527,
FR-Port,43.0036000,6.3944000,NO-Vest,59.4656000,10.0877000,1154.197036,0.192479,
NO-Vest,59.4656000,10.0877000,FR-Port,43.0036000,6.3944000,1154.197036,0.192479,
DE-Nordfriesland,54.4858000,9.0524000,SE-Nass,57.6520910,14.6974190,444.9736301,0.192236,
SE-Nass,57.6520910,14.6974190,DE-Nordfriesland,54.4858000,9.0524000,444.9736301,0.192236,
FR-Port,43.0036000,6.3944000,SE-Ska,56.0000000,14.1000000,1031.179769,0.192226,
SE-Ska,56.0000000,14.1000000,FR-Port,43.0036000,6.3944000,1031.179769,0.192226,
EN-Cumbria,54.2030000,-2.9520000,ES-Avi,40.1371230,-5.2501880,982.4214321,0.192058,
ES-Avi,40.1371230,-5.2501880,EN-Cumbria,54.2030000,-2.9520000,982.4214321,0.192058,
BE-Dalhem,50.7167000,5.7500000,IE,53.4129000,-8.2439000,984.782075,0.191823,
IE,53.4129000,-8.2439000,BE-Dalhem,50.7167000,5.7500000,984.782075,0.191823,
EN-Suffolk,52.3362000,0.5246000,PT-Cast,39.7010980,-7.3040680,1025.325336,0.191674,
PT-Cast,39.7010980,-7.3040680,EN-Suffolk,52.3362000,0.5246000,1025.325336,0.191674,
FR-Haute,45.7959000,1.1346000,RS,44.7317030,20.4075950,1333.857583,0.191558,
RS,44.7317030,20.4075950,FR-Haute,45.7959000,1.1346000,1333.857583,0.191558,
IE-Down,54.3277000,-5.7158000,NO-Vest,59.4656000,10.0877000,1147.98951,0.191461,
NO-Vest,59.4656000,10.0877000,IE-Down,54.3277000,-5.7158000,1147.98951,0.191461,
BE-Dalhem,50.7167000,5.7500000,WL-Angl,53.2143000,-4.3661000,720.0398917,0.191233,
WL-Angl,53.2143000,-4.3661000,BE-Dalhem,50.7167000,5.7500000,720.0398917,0.191233,
NO-Rog,58.9833000,5.5667000,PT-Cast,39.7010980,-7.3040680,1599.67736,0.191198,
PT-Cast,39.7010980,-7.3040680,NO-Rog,58.9833000,5.5667000,1599.67736,0.191198,
NO-Rog,58.9833000,5.5667000,SE-Nass,57.6520910,14.6974190,637.4573563,0.191193,
SE-Nass,57.6520910,14.6974190,NO-Rog,58.9833000,5.5667000,637.4573563,0.191193,
DK,56.2639000,9.5018000,FR-Cap,43.1597180,6.6210730,918.3554064,0.191155,
FR-Cap,43.1597180,6.6210730,DK,56.2639000,9.5018000,918.3554064,0.191155,
FR-Cotes,48.5452000,-3.3963000,IS-Rey,64.1000000,-21.8000000,1645.269614,0.191019,
IS-Rey,64.1000000,-21.8000000,FR-Cotes,48.5452000,-3.3963000,1645.269614,0.191019,
DK,56.2639000,9.5018000,SC-Inv,57.4574000,-4.2351000,952.882613,0.190852,
SC-Inv,57.4574000,-4.2351000,DK,56.2639000,9.5018000,952.882613,0.190852,
FR-Clerm,46.0811000,3.0321000,IS-Rey,64.1000000,-21.8000000,2104.370267,0.190762,
IS-Rey,64.1000000,-21.8000000,FR-Clerm,46.0811000,3.0321000,2104.370267,0.190762,
DE-Grobenhaim,51.2833330,13.5500000,RS,44.7317030,20.4075950,641.7254523,0.19075,
RS,44.7317030,20.4075950,DE-Grobenhaim,51.2833330,13.5500000,641.7254523,0.19075,
DE-Grobenhaim,51.2833330,13.5500000,IS-Horn,64.3858000,-15.2892000,2185.050742,0.190667,
IS-Horn,64.3858000,-15.2892000,DE-Grobenhaim,51.2833330,13.5500000,2185.050742,0.190667,
FR-Bany,42.4822000,3.1275000,SE-Nass,57.6520910,14.6974190,1306.878069,0.190417,
SE-Nass,57.6520910,14.6974190,FR-Bany,42.4822000,3.1275000,1306.878069,0.190417,
ES-Ast,43.1700000,-6.5000000,RS,44.7317030,20.4075950,1862.556777,0.190322,
RS,44.7317030,20.4075950,ES-Ast,43.1700000,-6.5000000,1862.556777,0.190322,
DE-Nordfriesland,54.4858000,9.0524000,IS-Rey,64.1000000,-21.8000000,2229.589537,0.190307,
IS-Rey,64.1000000,-21.8000000,DE-Nordfriesland,54.4858000,9.0524000,2229.589537,0.190307,
ES-Ast,43.1700000,-6.5000000,SE-Nass,57.6520910,14.6974190,1769.436109,0.190038,
SE-Nass,57.6520910,14.6974190,ES-Ast,43.1700000,-6.5000000,1769.436109,0.190038,
ES-Avi,40.1371230,-5.2501880,SC-Inv,57.4574000,-4.2351000,1194.886831,0.190031,
SC-Inv,57.4574000,-4.2351000,ES-Avi,40.1371230,-5.2501880,1194.886831,0.190031,
BE-Dalhem,50.7167000,5.7500000,SE-Karl,59.4013320,13.5125290,798.3185325,0.189958,
SE-Karl,59.4013320,13.5125290,BE-Dalhem,50.7167000,5.7500000,798.3185325,0.189958,
EN-Kent,51.1269000,1.2578000,IS-Rey,64.1000000,-21.8000000,1818.164607,0.189878,
IS-Horn,64.3858000,-15.2892000,EN-Kent,51.1269000,1.2578000,1458.992529,0.189878,
BE-Namur,50.6474000,4.8720000,TN,36.7736000,8.6848000,987.6710251,0.189835,
TN,36.7736000,8.6848000,BE-Namur,50.6474000,4.8720000,987.6710251,0.189835,
ES-Can,43.3101810,-4.0745710,PL-Bory,53.7994342,17.5422478,1656.359517,0.189753,
PL-Bory,53.7994342,17.5422478,ES-Can,43.3101810,-4.0745710,1656.359517,0.189753,
ES-Ast,43.1700000,-6.5000000,SE-Halm,56.6732080,12.8572190,1627.675768,0.189718,
SE-Halm,56.6732080,12.8572190,ES-Ast,43.1700000,-6.5000000,1627.675768,0.189718,
EN-Cornwall,50.4617000,-4.7347000,SE-Nass,57.6520910,14.6974190,1430.411379,0.189625,
SE-Nass,57.6520910,14.6974190,EN-Cornwall,50.4617000,-4.7347000,1430.411379,0.189625,
EN-Suffolk,52.3362000,0.5246000,ES-Sal,40.9777810,-5.9651370,902.9129332,0.189514,
ES-Sal,40.9777810,-5.9651370,EN-Suffolk,52.3362000,0.5246000,902.9129332,0.189514,
EN-Kent,51.1269000,1.2578000,PT-Port,41.3194460,-8.7355600,966.0244523,0.189308,
PL-Bory,53.7994342,17.5422478,EN-Kent,51.1269000,1.2578000,1139.936696,0.189308,
EN-Worcestershire,52.3748000,-1.9588000,PL-Bory,53.7994342,17.5422478,1351.169821,0.18926,
PL-Bory,53.7994342,17.5422478,EN-Worcestershire,52.3748000,-1.9588000,1351.169821,0.18926,
ES-Can,43.3101810,-4.0745710,RS,44.7317030,20.4075950,1694.662827,0.189237,
RS,44.7317030,20.4075950,ES-Can,43.3101810,-4.0745710,1694.662827,0.189237,
FR-Somme,50.0833000,1.5667000,IS-Rey,64.1000000,-21.8000000,1871.635508,0.18912,
IS-Rey,64.1000000,-21.8000000,FR-Somme,50.0833000,1.5667000,1871.635508,0.18912,
IE,53.4129000,-8.2439000,SE-Ska,56.0000000,14.1000000,1554.302372,0.189004,
SE-Ska,56.0000000,14.1000000,IE,53.4129000,-8.2439000,1554.302372,0.189004,
EN-Cumbria,54.2030000,-2.9520000,IT-Aspr,38.1666700,16.0000000,1707.665254,0.188804,
IT-Aspr,38.1666700,16.0000000,EN-Cumbria,54.2030000,-2.9520000,1707.665254,0.188804,
FR-Bany,42.4822000,3.1275000,SE-Halm,56.6732080,12.8572190,1180.182829,0.188601,
SE-Halm,56.6732080,12.8572190,FR-Bany,42.4822000,3.1275000,1180.182829,0.188601,
EN-Kent,51.1269000,1.2578000,WL-Angl,53.2143000,-4.3661000,414.5263546,0.188477,
TN,36.7736000,8.6848000,EN-Kent,51.1269000,1.2578000,1112.896131,0.188477,
EN-Cornwall,50.4617000,-4.7347000,SE-Halm,56.6732080,12.8572190,1288.375863,0.188439,
SE-Halm,56.6732080,12.8572190,EN-Cornwall,50.4617000,-4.7347000,1288.375863,0.188439,
ES-Can,43.3101810,-4.0745710,IE-Down,54.3277000,-5.7158000,767.0199098,0.188411,
IE-Down,54.3277000,-5.7158000,ES-Can,43.3101810,-4.0745710,767.0199098,0.188411,
DK,56.2639000,9.5018000,SE-Ska,56.0000000,14.1000000,318.2736067,0.188357,
SE-Ska,56.0000000,14.1000000,DK,56.2639000,9.5018000,318.2736067,0.188357,
IT-Aspr,38.1666700,16.0000000,PT-Cast,39.7010980,-7.3040680,1613.918334,0.18833,
PT-Cast,39.7010980,-7.3040680,IT-Aspr,38.1666700,16.0000000,1613.918334,0.18833,
ES-Ast,43.1700000,-6.5000000,IS-Rey,64.1000000,-21.8000000,1752.091802,0.188292,
IS-Rey,64.1000000,-21.8000000,ES-Ast,43.1700000,-6.5000000,1752.091802,0.188292,
DE-Grobenhaim,51.2833330,13.5500000,FR-Port,43.0036000,6.3944000,749.4415352,0.188184,
FR-Port,43.0036000,6.3944000,DE-Grobenhaim,51.2833330,13.5500000,749.4415352,0.188184,
ES-Sal,40.9777810,-5.9651370,NO-Rog,58.9833000,5.5667000,1475.876235,0.188179,
NO-Rog,58.9833000,5.5667000,ES-Sal,40.9777810,-5.9651370,1475.876235,0.188179,
DK-Ribe,55.2850000,8.6856000,ES-Sal,40.9777810,-5.9651370,1413.096968,0.18801,
ES-Sal,40.9777810,-5.9651370,DK-Ribe,55.2850000,8.6856000,1413.096968,0.18801,
DK,56.2639000,9.5018000,SC-Edim,55.9575000,-3.2581000,882.064779,0.187841,
SC-Edim,55.9575000,-3.2581000,DK,56.2639000,9.5018000,882.064779,0.187841,
FR-Clerm,46.0811000,3.0321000,Sl-Sko,45.5710000,13.7924000,744.4385288,0.187834,
Sl-Sko,45.5710000,13.7924000,FR-Clerm,46.0811000,3.0321000,744.4385288,0.187834,
EN-Kent,51.1269000,1.2578000,ES-Cat,41.7856000,2.3912000,649.9578043,0.187575,
ES-Cuen,40.0202690,-1.8215450,EN-Kent,51.1269000,1.2578000,796.4146898,0.187575,
NO-Vest,59.4656000,10.0877000,PL-Bory,53.7994342,17.5422478,640.1110738,0.187344,
PL-Bory,53.7994342,17.5422478,NO-Vest,59.4656000,10.0877000,640.1110738,0.187344,
ES-Avi,40.1371230,-5.2501880,SC-Edim,55.9575000,-3.2581000,1098.886518,0.187226,
SC-Edim,55.9575000,-3.2581000,ES-Avi,40.1371230,-5.2501880,1098.886518,0.187226,
SE-Ska,56.0000000,14.1000000,WL-Angl,53.2143000,-4.3661000,1290.366475,0.186961,
WL-Angl,53.2143000,-4.3661000,SE-Ska,56.0000000,14.1000000,1290.366475,0.186961,
DK,56.2639000,9.5018000,EN-Suffolk,52.3362000,0.5246000,676.649226,0.186943,
EN-Suffolk,52.3362000,0.5246000,DK,56.2639000,9.5018000,676.649226,0.186943,
FR-Cotes,48.5452000,-3.3963000,SE-Halm,56.6732080,12.8572190,1254.157669,0.18693,
SE-Halm,56.6732080,12.8572190,FR-Cotes,48.5452000,-3.3963000,1254.157669,0.18693,
FR-Cotes,48.5452000,-3.3963000,FR-Port,43.0036000,6.3944000,777.1856902,0.186628,
FR-Port,43.0036000,6.3944000,FR-Cotes,48.5452000,-3.3963000,777.1856902,0.186628,
EN-Kent,51.1269000,1.2578000,TN,36.7736000,8.6848000,1112.896131,0.186605,
Sl-Sko,45.5710000,13.7924000,EN-Kent,51.1269000,1.2578000,945.8647344,0.186605,
ES-Sal,40.9777810,-5.9651370,IT-Aspr,38.1666700,16.0000000,1530.101629,0.186393,
IT-Aspr,38.1666700,16.0000000,ES-Sal,40.9777810,-5.9651370,1530.101629,0.186393,
FR-Cap,43.1597180,6.6210730,FR-Port,43.0036000,6.3944000,18.98151308,0.186347,
FR-Port,43.0036000,6.3944000,FR-Cap,43.1597180,6.6210730,18.98151308,0.186347,
FR-Somme,50.0833000,1.5667000,SE-Halm,56.6732080,12.8572190,901.2512826,0.186115,
SE-Halm,56.6732080,12.8572190,FR-Somme,50.0833000,1.5667000,901.2512826,0.186115,
EN-Cumbria,54.2030000,-2.9520000,IS-Rey,64.1000000,-21.8000000,1462.285361,0.185829,
IS-Rey,64.1000000,-21.8000000,EN-Cumbria,54.2030000,-2.9520000,1462.285361,0.185829,
EN-Cumbria,54.2030000,-2.9520000,IT-Abruz,42.4576000,13.9275000,1417.284677,0.185766,
IT-Abruz,42.4576000,13.9275000,EN-Cumbria,54.2030000,-2.9520000,1417.284677,0.185766,
EN-Kent,51.1269000,1.2578000,SE-Karl,59.4013320,13.5125290,1018.592087,0.185741,
DK,56.2639000,9.5018000,FR-Bany,42.4822000,3.1275000,1043.640521,0.18567,
FR-Bany,42.4822000,3.1275000,DK,56.2639000,9.5018000,1043.640521,0.18567,
DE-Nordfriesland,54.4858000,9.0524000,ES-Cuen,40.0202690,-1.8215450,1247.824307,0.18527,
ES-Cuen,40.0202690,-1.8215450,DE-Nordfriesland,54.4858000,9.0524000,1247.824307,0.18527,
EN-Cornwall,50.4617000,-4.7347000,IS-Horn,64.3858000,-15.2892000,1194.605658,0.18505,
IS-Horn,64.3858000,-15.2892000,EN-Cornwall,50.4617000,-4.7347000,1194.605658,0.18505,
FR-Cap,43.1597180,6.6210730,SE-Karl,59.4013320,13.5125290,1202.623073,0.185031,
SE-Karl,59.4013320,13.5125290,FR-Cap,43.1597180,6.6210730,1202.623073,0.185031,
DK-Ribe,55.2850000,8.6856000,SE-Karl,59.4013320,13.5125290,434.9116861,0.184939,
SE-Karl,59.4013320,13.5125290,DK-Ribe,55.2850000,8.6856000,434.9116861,0.184939,
IT-Aspr,38.1666700,16.0000000,TN,36.7736000,8.6848000,514.1997337,0.184837,
TN,36.7736000,8.6848000,IT-Aspr,38.1666700,16.0000000,514.1997337,0.184837,
FR-Cotes,48.5452000,-3.3963000,SE-Nass,57.6520910,14.6974190,1397.297016,0.184765,
SE-Nass,57.6520910,14.6974190,FR-Cotes,48.5452000,-3.3963000,1397.297016,0.184765,
BE-Dalhem,50.7167000,5.7500000,ES-Cuen,40.0202690,-1.8215450,904.8677574,0.184643,
ES-Cuen,40.0202690,-1.8215450,BE-Dalhem,50.7167000,5.7500000,904.8677574,0.184643,
DK-Ribe,55.2850000,8.6856000,IE,53.4129000,-8.2439000,1177.04527,0.184607,
IE,53.4129000,-8.2439000,DK-Ribe,55.2850000,8.6856000,1177.04527,0.184607,
EN-Cornwall,50.4617000,-4.7347000,TN,36.7736000,8.6848000,1322.77172,0.184584,
TN,36.7736000,8.6848000,EN-Cornwall,50.4617000,-4.7347000,1322.77172,0.184584,
FR-Clerm,46.0811000,3.0321000,FR-Port,43.0036000,6.3944000,314.4938654,0.184556,
