Parameter,Value,Initial coverage,Stdev,Max,After merging ,Stdev,Max,,,
m,2,7.75,9.90,998,8.24,6.54,59,,,
m,2,11.99,27.98,5129,14.56,16.42,172,,,
m,2,7.75,9.06,889,8.24,6.33,56,,,
m,2,8.66,27.63,3947,9.05,7.61,107,,,
m,2,8.82,22.96,3251,9.36,7.79,107,,,
m,2,16.36,25.53,2749,17.82,17.97,124,,,
m,2,17.12,32.58,4087,18.92,20.24,151,,,
m,2,5.81,8.34,961,6.15,4.40,45,,,
m,2,9.74,15.87,1534,10.47,9.16,80,,,
m,2,6.89,7.78,776,7.36,5.36,61,,,
m,2,7.12,8.95,833,7.64,5.73,54,,,
m,2,24.40,44.41,5256,27.40,31.50,249,,,
m,2,4.56,7.68,811,4.77,3.44,43,,,
m,2,11.84,17.90,1548,12.79,11.89,99,,,
m,2,9.87,28.10,3523,11.31,12.69,137,,,
m,2,4.62,43.85,5471,4.62,3.67,103,,,
m,2,15.94,26.74,3362,18.89,15.56,187,,,
m,2,20.73,40.80,5184,25.39,22.03,204,,,
m,2,12.61,21.65,3856,14.89,14.06,126,,,
m,2,18.10,44.54,5633,21.32,20.37,230,,,
m,2,20.57,41.26,5569,26.13,26.37,210,,,
m,2,4.16,42.15,5947,4.00,2.89,88,,,
m,2,11.05,16.72,2888,12.04,11.36,93,,,
m,2,8.20,37.34,18411,10.17,9.28,141,,,
m,2,5.73,36.76,7452,6.42,5.14,97,,,
m,2,4.48,22.38,2293,4.61,3.23,61,,,
m,2,4.25,17.93,6598,4.86,3.43,60,,,
m,2,5.80,15.89,2921,6.88,5.63,68,,,
m,2,9.36,20.23,3114,10.20,10.58,100,,,
m,2,22.42,41.21,5111,28.76,27.31,214,,,
m,2,18.11,35.68,5819,23.96,23.12,170,,,
m,2,23.26,42.34,8025,28.12,29.60,225,,,
m,2,13.61,23.42,3401,15.54,14.09,135,,,
m,2,16.87,34.86,5723,20.33,22.01,182,,,
m,2,8.26,10.55,892,8.92,6.86,61,,,
m,2,17.56,29.30,2842,19.42,19.93,159,,,
m,2,10.03,13.75,1356,10.70,9.40,80,,,
m,2,8.65,10.72,1158,9.32,7.42,75,,,
m,2,8.19,10.90,1001,8.73,6.96,61,,,
m,2,19.94,46.89,7401,25.97,25.59,239,,,
m,2,9.19,14.53,1571,9.88,8.39,72,,,
m,2,10.22,14.19,1374,11.00,9.40,87,,,
m,2,13.42,19.99,2079,14.54,13.68,111,,,
m,2,7.95,10.45,1053,8.50,6.70,64,,,
m,2,10.82,15.52,1329,11.59,10.52,101,,,
m,2,9.84,14.05,1311,10.57,9.25,82,,,
m,2,7.26,8.96,803,7.79,5.85,55,,,
m,2,8.52,11.77,1164,9.20,7.52,70,,,
m,2,7.12,8.88,754,7.60,5.71,54,,,
m,2,6.77,10.02,927,7.18,5.33,58,,,
m,2,16.70,26.36,4232,20.08,17.83,164,,,
m,2,14.96,26.07,2766,16.39,15.92,130,,,
m,2,12.32,17.93,1860,13.19,12.47,99,,,
m,2,10.81,14.34,1482,11.59,10.28,105,,,
m,2,7.66,12.06,1408,8.25,6.16,65,,,
m,2,12.83,19.75,1808,13.63,12.65,127,,,
m,2,9.50,12.93,1216,10.23,8.61,92,,,
m,2,6.82,7.54,774,7.30,5.20,49,,,
m,2,11.51,17.17,1815,12.48,10.89,91,,,
m,2,8.34,14.65,1395,8.91,7.09,86,,,
m,2,12.50,19.05,2160,13.45,12.81,100,,,
