Parameter,Value,Initial coverage,Stdev,Max,After merging ,Stdev,Max,,,
m,3,18.55,28.23,4482,21.21,15.59,153,,,
m,3,24.71,164.29,54353,26.39,22.73,473,,,
m,3,22.90,37.65,6287,25.96,20.17,220,,,
m,3,17.24,51.58,18986,21.56,20.47,207,,,
m,3,31.09,50.79,6455,36.15,27.34,309,,,
m,3,21.16,30.47,4021,23.97,17.93,231,,,
m,3,19.33,29.67,3977,21.49,16.10,194,,,
m,3,23.54,38.06,4580,27.04,21.27,196,,,
m,3,33.38,48.45,5739,39.25,31.26,283,,,
m,3,32.01,49.12,5925,37.50,29.82,322,,,
m,4,20.05,27.99,3648,21.78,14.95,191,,,
m,4,22.10,32.16,4042,24.34,17.16,179,,,
m,4,20.77,28.61,4387,22.98,15.75,185,,,
m,4,16.10,121.60,42932,17.14,13.50,348,,,
m,4,25.78,34.56,4155,28.79,20.99,204,,,
m,4,22.12,26.89,2811,24.58,16.77,155,,,
m,4,35.90,48.30,4464,40.65,32.33,333,,,
m,4,24.43,30.27,3027,26.34,17.87,179,,,
m,4,12.31,20.28,2173,13.12,8.14,101,,,
m,4,24.37,30.53,2279,26.94,19.75,168,,,
m,4,14.02,20.46,3036,15.55,10.05,123,,,
m,4,22.07,32.51,3617,25.59,19.22,181,,,
m,4,26.03,53.54,9086,28.18,21.77,240,,,
m,4,19.13,35.30,6326,20.63,14.65,227,,,
m,4,22.34,27.59,2897,24.83,17.66,169,,,
m,4,28.47,36.28,3728,31.43,23.06,223,,,
m,4,38.33,54.91,4593,43.86,36.17,330,,,
m,4,24.13,31.42,3633,26.93,18.98,186,,,
m,4,32.87,41.70,5556,37.29,26.48,256,,,
m,4,25.64,86.85,28134,28.90,23.62,414,,,
m,4,27.82,37.57,2778,30.92,24.05,274,,,
m,4,15.78,25.17,3008,16.86,10.68,132,,,
m,4,22.44,26.77,2926,24.85,17.00,160,,,
m,4,31.18,51.49,7175,34.90,25.27,265,,,
m,4,22.45,83.64,26363,25.02,19.57,302,,,
m,4,23.60,33.60,4234,26.07,17.93,195,,,
m,4,21.85,33.82,6078,23.63,18.44,193,,,
m,4,22.83,30.74,3870,25.38,17.17,177,,,
m,4,40.56,83.29,10527,44.80,33.28,380,,,
m,4,30.50,49.65,5722,34.02,23.81,272,,,
m,4,20.99,36.63,4972,22.51,16.54,217,,,
m,4,32.80,43.80,7757,36.44,27.04,282,,,
m,4,18.49,24.81,3770,20.14,13.61,158,,,
m,4,26.38,35.54,3786,29.27,21.60,215,,,
m,4,28.27,37.10,4458,31.76,23.44,248,,,
m,4,19.94,32.41,5599,22.00,15.50,188,,,
m,4,25.38,37.01,4479,29.16,21.64,238,,,
m,4,18.93,54.59,9765,18.11,18.63,303,,,
m,4,40.52,82.29,9052,43.18,32.00,407,,,
m,4,31.93,48.96,5432,34.49,24.87,270,,,
m,4,28.29,38.31,4687,30.85,21.51,239,,,
m,4,37.34,76.69,8367,39.46,28.65,325,,,
m,4,17.46,26.30,3038,18.77,12.49,145,,,
m,4,24.77,33.71,3552,26.03,17.75,180,,,
m,4,29.56,39.19,3984,31.09,21.85,223,,,
m,4,15.40,26.49,5084,17.44,13.63,132,,,
m,4,28.18,42.14,4754,30.53,22.40,249,,,
m,4,18.94,29.38,3504,21.07,14.53,164,,,
m,4,17.23,25.42,2896,18.84,12.79,169,,,
m,4,21.67,102.30,40683,26.74,23.73,393,,,
m,4,19.02,110.26,42966,22.84,19.28,367,,,
m,4,35.43,54.62,5685,38.84,29.03,302,,,
m,4,32.75,44.78,4463,36.03,26.89,278,,,
m,4,35.37,49.61,5414,38.82,29.23,271,,,
m,4,34.20,47.55,4927,37.68,28.59,253,,,
m,4,28.37,127.35,44200,32.50,26.43,453,,,
m,4,17.86,137.87,42484,18.10,15.03,507,,,
m,4,25.22,36.01,5781,28.11,20.35,211,,,
m,4,16.86,117.22,42477,18.57,14.50,347,,,
m,4,28.41,38.26,3887,32.54,23.54,235,,,
m,4,35.87,50.85,6203,41.35,30.27,289,,,
m,4,34.43,49.78,5415,40.14,27.96,287,,,
m,4,26.79,36.73,4716,31.18,22.85,217,,,
m,4,28.95,43.66,6683,34.60,26.73,242,,,
m,4,24.15,35.06,5885,28.27,20.33,183,,,
m,4,27.80,308.48,94632,26.22,25.71,847,,,
m,4,22.19,32.02,5094,25.11,17.56,191,,,
m,4,26.74,58.49,8548,27.91,21.48,318,,,
m,4,38.30,54.46,7056,41.17,31.20,348,,,
m,4,34.74,44.32,5962,37.66,27.89,287,,,
m,4,43.44,65.49,7230,46.77,36.71,438,,,
m,4,29.61,38.12,4012,31.58,22.38,230,,,
m,4,39.79,51.75,6196,43.08,31.20,293,,,
m,4,44.98,60.93,9488,49.39,36.91,383,,,
m,4,21.58,27.79,2414,24.24,17.40,156,,,
m,4,26.29,33.87,2613,29.16,22.36,202,,,
m,4,33.54,41.62,5416,37.60,27.83,257,,,
m,4,28.22,37.44,2738,31.49,24.85,196,,,
m,4,31.46,41.80,3470,35.43,26.96,315,,,
m,4,24.47,31.16,2110,26.87,19.94,153,,,
m,4,25.85,30.32,4297,28.43,18.23,220,,,
m,4,20.44,23.81,2483,22.56,16.20,169,,,
m,4,17.82,20.70,2366,19.69,13.17,127,,,
m,4,21.07,29.89,2757,23.49,17.40,190,,,
m,4,24.58,30.22,4030,27.33,18.73,166,,,
m,4,21.25,28.21,2424,23.53,17.43,167,,,
m,4,22.34,29.41,3551,25.04,16.96,201,,,
m,4,23.66,30.79,4039,26.58,17.95,195,,,
m,4,22.01,27.24,2947,24.58,17.16,174,,,
m,4,19.74,31.53,5723,23.28,18.77,169,,,
m,4,24.65,36.57,5207,26.63,20.38,232,,,
m,4,22.40,28.73,2136,24.95,18.66,196,,,
m,4,27.03,34.31,3679,30.13,22.16,232,,,
m,4,29.22,37.79,4870,32.57,23.51,226,,,
m,4,28.82,36.64,2913,32.33,24.02,244,,,
m,4,23.45,29.48,2258,26.22,19.29,167,,,
m,4,28.91,39.86,5173,32.27,23.53,265,,,
m,4,22.85,30.31,3871,25.31,17.56,207,,,
m,4,30.73,40.91,3854,34.28,25.59,260,,,
m,4,38.01,48.47,6986,44.00,32.19,301,,,
m,4,26.07,38.56,5501,29.69,20.75,240,,,
m,4,33.60,59.44,6092,37.43,29.43,320,,,
m,4,36.28,50.67,8246,42.15,29.82,328,,,
m,4,11.31,11.60,1017,12.19,7.17,85,,,
m,4,13.04,15.17,1469,14.18,8.71,99,,,
m,4,13.61,25.53,3515,14.55,9.51,110,,,
m,4,8.64,20.45,2186,8.60,4.73,93,,,
m,4,8.78,22.36,2597,8.72,4.82,91,,,
m,4,12.17,16.90,1598,12.99,8.09,86,,,
m,4,10.35,12.64,1047,11.02,6.21,73,,,
m,4,14.09,17.03,1638,15.23,10.10,105,,,
m,4,11.92,13.22,1175,12.92,7.71,91,,,
m,4,10.60,11.24,998,11.31,6.54,74,,,
m,4,19.68,35.61,5129,22.86,17.79,199,,,
m,4,10.48,10.06,889,11.25,6.28,56,,,
m,4,11.87,33.45,3947,12.20,7.67,152,,,
m,4,11.95,27.41,3251,12.50,7.73,109,,,
m,4,21.85,28.28,2749,23.79,18.90,214,,,
m,4,23.65,37.28,4087,25.56,21.07,207,,,
m,4,8.22,10.21,961,8.44,4.37,55,,,
m,4,13.21,18.23,1534,14.15,9.16,97,,,
m,4,9.36,8.73,776,9.93,5.25,61,,,
m,4,9.63,10.20,833,10.26,5.66,61,,,
m,4,34.45,50.44,5256,37.78,33.88,288,,,
m,4,7.33,10.82,811,7.29,3.76,57,,,
m,4,16.21,20.17,1548,17.59,12.07,123,,,
m,4,17.86,38.57,3523,19.24,13.25,186,,,
m,4,8.15,69.95,5471,7.07,4.87,201,,,
m,4,20.73,29.59,3362,22.87,15.12,194,,,
m,4,27.87,46.08,5184,31.02,21.40,237,,,
m,4,19.02,25.53,3856,21.39,14.32,167,,,
m,4,26.15,52.87,5633,28.59,19.94,242,,,
m,4,31.43,48.92,5569,35.38,27.45,335,,,
m,4,7.80,72.80,5947,6.15,4.21,155,,,
m,4,16.41,19.33,2888,17.80,11.93,120,,,
m,4,11.46,46.25,18411,13.29,9.79,167,,,
m,4,8.70,50.20,7452,8.69,5.53,145,,,
m,4,7.41,34.18,2293,6.67,3.92,154,,,
m,4,6.74,27.09,6598,6.81,3.82,90,,,
m,4,9.04,21.59,2921,9.66,5.68,101,,,
m,4,15.06,25.77,3114,16.19,11.56,161,,,
m,4,33.12,47.61,5111,37.27,28.36,286,,,
m,4,27.72,42.42,5819,32.32,22.59,261,,,
m,4,36.53,49.68,8025,41.09,31.80,294,,,
m,4,19.17,26.91,3401,20.12,14.31,153,,,
m,4,26.30,42.12,5723,28.89,23.63,209,,,
m,4,10.97,11.79,892,11.79,6.69,75,,,
m,4,24.01,32.88,2842,26.25,20.67,200,,,
m,4,13.67,15.39,1356,14.79,9.54,85,,,
m,4,11.62,11.89,1158,12.57,7.26,75,,,
m,4,11.09,12.34,1001,11.89,6.91,66,,,
m,4,30.58,56.71,7401,34.42,26.12,307,,,
m,4,12.48,16.70,1571,13.37,8.33,85,,,
m,4,13.71,15.84,1374,14.87,9.35,87,,,
m,4,17.99,22.19,2079,19.60,14.00,161,,,
m,4,10.79,11.85,1053,11.54,6.64,64,,,
m,4,14.87,17.46,1329,16.11,10.75,110,,,
m,4,13.55,15.91,1311,14.68,9.27,82,,,
m,4,9.84,10.16,803,10.50,5.77,61,,,
m,4,11.56,13.36,1164,12.48,7.43,85,,,
m,4,9.69,10.12,754,10.29,5.67,77,,,
m,4,9.28,11.84,927,9.64,5.22,65,,,
m,4,23.24,29.50,4232,25.97,18.16,208,,,
m,4,20.11,29.41,2766,21.71,16.08,152,,,
m,4,16.81,20.01,1860,18.23,12.76,107,,,
m,4,14.63,15.84,1482,15.93,10.47,105,,,
m,4,10.19,13.96,1408,10.77,5.92,84,,,
m,4,17.46,22.17,1808,18.47,12.65,151,,,
m,4,12.84,14.48,1216,13.90,8.49,92,,,
m,4,9.21,8.42,774,9.82,5.13,56,,,
m,4,15.37,19.19,1815,16.70,10.73,109,,,
m,4,11.21,17.09,1395,11.82,6.92,99,,,
m,4,17.18,21.45,2160,18.62,13.13,114,,,
m,4,29.24,53.18,5751,32.39,24.38,287,,,
m,4,12.87,15.20,1340,13.90,8.74,97,,,
m,4,18.26,23.47,1787,19.80,14.08,132,,,
m,4,15.75,21.19,1620,17.00,11.36,119,,,
m,4,12.04,13.55,1252,12.97,7.76,81,,,
m,4,7.60,7.46,466,7.74,3.73,50,,,
m,4,8.72,8.59,725,9.18,4.74,56,,,
m,4,11.41,10.96,996,12.31,7.20,72,,,
m,4,11.11,16.15,1390,11.82,6.87,95,,,
m,4,9.87,9.81,886,10.55,5.75,76,,,
m,4,11.25,11.27,1091,12.15,6.90,68,,,
m,4,28.35,38.35,4822,31.81,23.41,224,,,
m,4,8.36,8.34,542,8.72,4.40,54,,,
m,4,10.25,20.19,2329,10.59,6.09,87,,,
m,4,14.13,20.13,1878,15.23,9.73,97,,,
m,4,14.76,18.39,1518,15.90,10.61,108,,,
m,4,11.98,19.03,1557,12.70,7.79,95,,,
m,4,15.84,26.10,2497,16.62,11.10,125,,,
m,4,26.12,43.37,4368,28.34,20.86,239,,,
m,4,11.22,11.29,1028,12.05,7.06,75,,,
m,4,11.89,12.91,1136,12.84,7.70,74,,,
m,4,10.56,11.26,975,11.26,6.43,83,,,
m,4,11.77,11.80,1154,12.69,7.54,82,,,
m,4,27.72,36.76,4132,31.11,23.05,238,,,
m,4,13.47,13.78,1380,14.64,9.14,81,,,
m,4,19.35,23.90,2460,20.95,15.36,165,,,
m,4,12.36,25.02,2894,12.88,8.09,124,,,
m,4,10.43,10.06,837,11.15,6.39,63,,,
m,4,10.40,10.68,980,11.13,6.30,75,,,
m,4,8.61,10.06,787,8.90,4.68,54,,,
m,4,7.19,6.56,479,7.28,3.43,42,,,
m,4,12.73,14.30,1329,13.74,8.54,83,,,
m,4,19.84,23.61,2631,21.68,15.93,140,,,
m,4,12.46,18.64,1918,13.32,8.07,117,,,
m,4,35.87,54.85,5258,40.24,31.61,327,,,
m,4,32.21,44.40,7017,36.76,27.34,306,,,
m,4,24.38,32.16,4549,27.49,19.30,212,,,
m,4,28.06,38.13,5088,31.73,22.90,272,,,
m,4,33.35,40.91,6368,38.55,25.72,274,,,
m,4,20.16,27.31,3341,22.55,16.30,184,,,
m,4,25.86,33.67,6054,29.63,19.09,217,,,
m,4,23.20,29.99,3903,26.29,18.10,173,,,
m,4,23.17,34.19,5436,26.23,17.56,183,,,
m,4,24.17,33.02,4536,28.01,19.77,202,,,
m,4,29.91,39.62,5190,34.20,24.56,253,,,
m,4,37.81,53.06,7796,43.88,31.43,337,,,
m,4,24.48,38.74,5522,27.57,18.74,222,,,
m,4,29.03,40.85,5264,30.76,22.03,262,,,
m,4,40.12,55.19,6482,45.69,34.04,421,,,
m,4,24.44,35.96,4542,26.87,18.94,208,,,
m,4,15.98,33.11,5925,19.47,16.96,177,,,
m,4,18.29,29.89,3690,21.66,15.76,155,,,
m,4,28.19,42.66,4935,31.89,24.59,296,,,
m,4,28.08,61.56,19415,31.73,24.19,311,,,
m,4,33.73,45.87,6903,37.60,26.75,285,,,
m,4,29.04,37.87,3516,32.54,24.30,232,,,
m,4,24.73,43.25,4994,26.44,19.95,239,,,
m,4,12.85,25.66,2616,12.88,8.83,118,,,
m,4,27.59,38.94,5679,30.68,22.66,229,,,
m,4,23.87,39.88,6288,27.93,22.32,192,,,
m,4,27.57,45.87,6184,30.90,22.12,237,,,
m,4,29.84,35.76,2651,31.45,22.74,245,,,
m,4,67.46,95.79,10155,76.39,58.64,574,,,
m,4,8.31,12.05,67,6.07,4.19,21,,,
m,4,25.63,41.23,4398,27.17,19.26,250,,,
m,4,22.09,37.95,5516,24.64,17.20,206,,,
m,4,17.51,25.91,4466,19.46,13.16,188,,,
m,4,24.72,45.22,5644,27.58,19.73,269,,,
m,4,20.24,29.23,4482,22.68,15.47,153,,,
m,4,26.82,171.97,54353,28.17,23.25,611,,,
m,4,24.82,38.89,6287,27.76,20.06,242,,,
m,4,19.04,54.49,18986,23.46,20.78,234,,,
m,4,33.35,52.14,6455,37.87,27.08,309,,,
m,4,22.81,31.30,4021,25.57,17.75,209,,,
m,4,21.02,30.67,3977,23.13,15.98,161,,,
m,4,25.60,39.33,4580,28.91,21.13,196,,,
m,4,36.12,49.68,5739,41.37,31.19,283,,,
m,4,34.55,50.43,5925,39.38,29.65,322,,,
m,5,21.15,28.60,3648,22.84,14.80,191,,,
m,5,23.26,32.84,4042,25.44,17.00,163,,,
m,5,21.84,29.19,4387,24.03,15.60,185,,,
m,5,17.21,127.00,42932,18.18,13.73,348,,,
m,5,27.04,35.13,4155,30.10,20.97,204,,,
m,5,23.15,27.29,2811,25.61,16.60,155,,,
m,5,37.74,49.05,4464,42.34,32.26,333,,,
m,5,25.53,30.69,3027,27.40,17.65,179,,,
m,5,13.30,21.24,2173,14.01,8.09,136,,,
m,5,25.59,31.01,2279,28.15,19.63,168,,,
m,5,15.13,21.27,3036,16.49,9.93,123,,,
m,5,23.69,33.46,3617,26.93,19.09,199,,,
m,5,27.48,54.97,9086,29.51,21.68,266,,,
m,5,20.31,36.39,6326,21.80,14.65,227,,,
m,5,23.47,28.04,2897,26.01,17.54,169,,,
m,5,29.84,36.80,3728,32.75,22.91,223,,,
m,5,40.46,55.89,4593,45.71,36.13,330,,,
m,5,25.30,31.93,3633,28.15,18.85,186,,,
m,5,34.31,42.22,5556,38.64,26.22,256,,,
m,5,26.96,89.28,28134,30.19,23.64,414,,,
m,5,29.27,38.22,2778,32.36,24.01,274,,,
m,5,16.66,25.88,3008,17.67,10.57,135,,,
m,5,23.49,27.15,2926,25.92,16.90,160,,,
m,5,32.78,52.54,7175,36.39,24.98,265,,,
m,5,23.63,86.14,26363,26.20,19.52,302,,,
m,5,24.70,34.20,4234,27.13,17.74,195,,,
m,5,23.75,35.04,6078,25.82,18.44,273,,,
m,5,23.84,31.23,3870,26.37,17.00,177,,,
m,5,42.31,84.87,10527,46.03,33.08,438,,,
m,5,31.74,50.46,5722,35.15,23.59,283,,,
m,5,22.18,37.61,4972,23.67,16.48,217,,,
m,5,34.34,44.43,7757,37.86,26.90,282,,,
m,5,19.45,25.33,3770,21.09,13.51,158,,,
m,5,27.66,36.12,3786,30.56,21.48,215,,,
m,5,29.63,37.67,4458,33.10,23.30,248,,,
m,5,21.10,33.27,5599,23.07,15.42,188,,,
m,5,27.02,37.91,4479,30.56,21.50,238,,,
m,5,20.71,57.49,9765,19.73,19.60,303,,,
m,5,42.58,84.11,9052,44.68,31.75,407,,,
m,5,33.54,49.88,5432,36.00,24.63,270,,,
m,5,29.65,38.92,4687,32.14,21.28,239,,,
m,5,39.07,78.26,8367,40.80,28.50,383,,,
m,5,18.71,27.16,3038,19.74,12.32,145,,,
m,5,25.86,34.24,3552,27.04,17.53,172,,,
m,5,30.88,39.74,3984,32.24,21.65,223,,,
m,5,17.21,28.09,5084,19.02,13.62,141,,,
m,5,30.65,43.49,4754,32.69,21.93,249,,,
m,5,20.31,30.34,3504,22.23,14.32,154,,,
m,5,18.55,26.30,2896,19.86,12.64,169,,,
m,5,23.79,108.06,40683,28.76,24.01,393,,,
m,5,20.76,116.36,42966,24.42,19.46,419,,,
m,5,37.40,55.72,5685,40.59,28.73,302,,,
m,5,34.36,45.48,4463,37.51,26.73,278,,,
m,5,37.25,50.46,5414,40.60,29.03,271,,,
m,5,35.96,48.33,4927,39.29,28.44,315,,,
m,5,29.78,130.85,44200,33.93,26.52,572,,,
m,5,19.06,143.67,42484,19.21,15.29,372,,,
m,5,26.64,36.76,5781,29.60,20.19,211,,,
m,5,17.90,121.84,42477,19.60,14.60,347,,,
m,5,29.66,38.81,3887,33.69,23.38,235,,,
m,5,37.41,51.56,6203,42.58,30.07,289,,,
m,5,36.20,50.65,5415,41.44,27.64,277,,,
m,5,28.51,37.54,4716,32.66,22.65,229,,,
m,5,30.94,44.77,6683,36.23,26.73,251,,,
m,5,25.81,35.97,5885,29.73,20.18,218,,,
m,5,29.68,320.35,94632,27.82,26.46,847,,,
m,5,23.39,32.71,5094,26.27,17.38,191,,,
m,5,28.34,60.18,8548,29.39,21.49,431,,,
m,5,40.73,55.56,7056,43.26,30.91,348,,,
m,5,36.82,45.05,5962,39.50,27.70,287,,,
m,5,46.24,66.89,7230,49.05,36.50,438,,,
m,5,30.95,38.64,4012,32.81,22.19,232,,,
m,5,41.40,52.33,6196,44.42,31.04,293,,,
m,5,47.64,61.94,9488,51.73,36.57,383,,,
m,5,22.88,28.37,2414,25.46,17.25,172,,,
m,5,27.72,34.45,2613,30.66,22.33,202,,,
m,5,34.90,42.06,5416,38.92,27.77,257,,,
m,5,29.84,38.12,2738,33.20,24.88,271,,,
m,5,33.05,42.45,3470,36.88,26.79,315,,,
m,5,25.87,31.73,2110,28.27,19.85,153,,,
m,5,26.80,30.62,4297,29.34,18.01,241,,,
m,5,21.65,24.23,2483,23.83,16.19,169,,,
m,5,18.84,21.10,2366,20.73,13.07,139,,,
m,5,22.39,30.62,2757,24.75,17.28,190,,,
m,5,25.74,30.65,4030,28.38,18.56,166,,,
m,5,22.48,28.80,2424,24.78,17.35,185,,,
m,5,23.36,29.89,3551,26.05,16.77,201,,,
m,5,24.70,31.25,4039,27.63,17.74,195,,,
m,5,23.12,27.69,2947,25.72,17.02,174,,,
m,5,21.54,32.80,5723,25.04,19.00,184,,,
m,5,25.88,37.29,5207,27.83,20.40,228,,,
m,5,23.64,29.27,2136,26.25,18.61,196,,,
m,5,28.29,34.80,3679,31.42,22.09,232,,,
m,5,30.49,38.30,4870,33.82,23.45,226,,,
m,5,30.18,37.16,2913,33.63,23.90,244,,,
m,5,24.70,29.98,2258,27.48,19.17,167,,,
m,5,30.16,40.45,5173,33.49,23.41,265,,,
m,5,23.92,30.81,3871,26.39,17.44,206,,,
m,5,32.08,41.48,3854,35.60,25.56,260,,,
m,5,39.79,49.07,6986,45.68,32.00,301,,,
m,5,27.28,39.25,5501,30.87,20.53,240,,,
m,5,35.64,60.93,6092,39.34,29.20,320,,,
m,5,37.84,51.37,8246,43.52,29.54,396,,,
m,5,12.37,12.05,1017,13.26,7.07,85,,,
m,5,14.10,15.70,1469,15.27,8.56,99,,,
m,5,14.78,26.80,3515,15.74,9.40,129,,,
m,5,9.74,22.60,2186,9.46,4.74,93,,,
m,5,9.85,24.63,2597,9.55,4.92,91,,,
m,5,13.30,17.73,1598,14.12,8.00,90,,,
m,5,11.35,13.33,1047,11.93,6.10,73,,,
m,5,15.31,17.64,1638,16.53,9.99,105,,,
m,5,12.97,13.73,1175,13.98,7.58,91,,,
m,5,11.63,11.75,998,12.32,6.45,74,,,
m,5,21.89,37.51,5129,24.87,17.62,197,,,
m,5,11.45,10.45,889,12.21,6.19,65,,,
m,5,12.97,35.59,3947,13.21,7.73,152,,,
m,5,13.04,29.06,3251,13.52,7.63,109,,,
m,5,23.64,29.07,2749,25.82,18.84,214,,,
m,5,25.63,38.56,4087,27.71,21.00,207,,,
m,5,9.26,11.15,961,9.31,4.36,71,,,
m,5,14.40,19.04,1534,15.40,9.06,117,,,
m,5,10.31,9.15,776,10.79,5.20,62,,,
m,5,10.57,10.74,833,11.12,5.59,61,,,
m,5,37.11,51.75,5256,40.73,33.95,288,,,
m,5,8.46,12.32,811,8.23,3.86,57,,,
m,5,17.54,20.81,1548,19.06,11.91,123,,,
m,5,19.52,40.49,3523,20.47,13.06,192,,,
m,5,10.13,84.99,5471,8.20,5.76,201,,,
m,5,21.65,30.13,3362,23.75,14.96,194,,,
m,5,29.04,46.88,5184,32.13,21.18,259,,,
m,5,20.36,26.23,3856,22.58,14.10,167,,,
m,5,27.50,54.17,5633,29.93,19.68,273,,,
m,5,33.50,50.12,5569,37.35,27.24,335,,,
m,5,10.17,92.68,5947,7.27,5.48,211,,,
m,5,17.55,19.81,2888,19.00,11.88,114,,,
m,5,12.66,49.74,18411,14.32,9.91,176,,,
m,5,10.05,56.88,7452,9.63,5.89,173,,,
m,5,8.85,40.68,2293,7.63,4.63,131,,,
m,5,8.03,32.78,6598,7.75,4.24,104,,,
m,5,10.27,23.91,2921,10.52,5.67,104,,,
m,5,16.40,26.97,3114,17.56,11.61,161,,,
m,5,34.83,48.44,5111,38.88,28.20,286,,,
m,5,30.19,43.85,5819,34.13,22.08,236,,,
m,5,39.02,50.70,8025,43.61,31.49,337,,,
m,5,20.53,27.68,3401,21.34,14.21,203,,,
m,5,29.06,43.86,5723,31.25,23.46,236,,,
m,5,11.95,12.27,892,12.74,6.57,75,,,
m,5,25.87,33.77,2842,28.35,20.57,200,,,
m,5,14.86,15.91,1356,16.08,9.41,85,,,
m,5,12.61,12.30,1158,13.56,7.12,76,,,
m,5,12.11,12.88,1001,12.88,6.81,66,,,
m,5,32.29,58.09,7401,36.02,25.92,307,,,
m,5,13.58,17.46,1571,14.48,8.21,85,,,
m,5,14.80,16.35,1374,16.03,9.19,91,,,
m,5,19.44,22.83,2079,21.24,13.87,161,,,
m,5,11.79,12.38,1053,12.51,6.54,77,,,
m,5,16.12,18.02,1329,17.48,10.65,110,,,
m,5,14.69,16.46,1311,15.89,9.12,87,,,
m,5,10.81,10.66,803,11.40,5.66,66,,,
m,5,12.61,13.94,1164,13.53,7.30,85,,,
m,5,10.68,10.66,754,11.21,5.60,77,,,
m,5,10.30,12.68,927,10.52,5.17,65,,,
m,5,24.39,29.98,4232,27.15,18.05,208,,,
m,5,21.69,30.36,2766,23.46,15.89,152,,,
m,5,18.23,20.61,1860,19.82,12.64,107,,,
m,5,15.81,16.28,1482,17.27,10.33,105,,,
m,5,11.13,14.76,1408,11.57,5.81,84,,,
m,5,18.84,22.83,1808,19.96,12.44,151,,,
m,5,13.90,14.98,1216,15.02,8.36,97,,,
m,5,10.16,8.83,774,10.64,5.06,72,,,
m,5,16.51,19.77,1815,17.94,10.55,109,,,
m,5,12.24,18.04,1395,12.79,6.85,99,,,
m,5,18.57,22.10,2160,20.15,12.96,119,,,
m,5,30.84,54.44,5751,33.91,24.14,287,,,
m,5,13.99,15.78,1340,15.07,8.60,114,,,
m,5,19.74,24.18,1787,21.46,13.89,136,,,
m,5,17.03,21.94,1620,18.38,11.17,127,,,
m,5,13.06,14.05,1252,14.00,7.64,81,,,
m,5,8.60,8.16,466,8.58,3.68,50,,,
m,5,9.68,9.13,725,10.03,4.67,56,,,
m,5,12.41,11.32,996,13.35,7.14,72,,,
m,5,12.13,17.02,1390,12.76,6.74,86,,,
m,5,10.81,10.26,886,11.43,5.66,66,,,
m,5,12.21,11.66,1091,13.12,6.81,68,,,
m,5,29.79,39.00,4822,33.25,23.24,224,,,
m,5,9.32,8.93,542,9.50,4.34,63,,,
m,5,11.31,21.65,2329,11.50,6.06,98,,,
m,5,15.26,20.92,1878,16.39,9.56,97,,,
m,5,16.01,19.04,1518,17.25,10.48,119,,,
m,5,13.05,20.02,1557,13.75,7.70,97,,,
m,5,17.11,27.16,2497,17.94,10.94,125,,,
m,5,27.53,44.36,4368,29.67,20.70,239,,,
m,5,12.25,11.71,1028,13.10,6.96,75,,,
m,5,12.92,13.39,1136,13.89,7.56,76,,,
m,5,11.55,11.77,975,12.21,6.34,83,,,
m,5,12.80,12.19,1154,13.77,7.45,82,,,
m,5,29.10,37.36,4132,32.51,22.92,238,,,
m,5,14.54,14.14,1380,15.78,8.98,81,,,
m,5,20.88,24.54,2460,22.69,15.22,165,,,
m,5,13.50,26.47,2894,13.97,8.03,124,,,
m,5,11.45,10.47,837,12.15,6.31,63,,,
m,5,11.41,11.16,980,12.10,6.23,75,,,
m,5,9.63,10.85,787,9.77,4.62,54,,,
m,5,8.23,7.25,479,8.16,3.43,49,,,
m,5,13.83,14.81,1329,14.87,8.42,83,,,
m,5,21.43,24.20,2631,23.47,15.75,140,,,
m,5,13.50,19.50,1918,14.34,7.92,92,,,
m,5,37.95,55.99,5258,42.14,31.45,327,,,
m,5,34.03,45.21,7017,38.61,27.12,306,,,
m,5,25.61,32.71,4549,28.81,19.20,185,,,
m,5,29.42,38.75,5088,33.13,22.70,272,,,
m,5,34.52,41.28,6368,39.57,25.46,274,,,
m,5,21.36,27.94,3341,23.79,16.22,184,,,
m,5,26.68,34.03,6054,30.38,18.90,217,,,
m,5,24.22,30.44,3903,27.29,17.95,173,,,
m,5,24.19,34.79,5436,27.22,17.35,196,,,
m,5,25.62,33.72,4536,29.27,19.55,202,,,
m,5,31.11,40.12,5190,35.31,24.36,253,,,
m,5,39.32,53.74,7796,45.10,31.19,337,,,
m,5,25.50,39.41,5522,28.54,18.56,225,,,
m,5,30.68,41.65,5264,32.32,21.78,262,,,
m,5,42.04,55.99,6482,47.30,33.79,421,,,
m,5,25.68,36.67,4542,28.06,18.74,208,,,
m,5,17.96,35.36,5925,21.48,17.22,177,,,
m,5,19.69,30.96,3690,22.89,15.68,180,,,
m,5,30.16,43.78,4935,33.59,24.48,296,,,
m,5,30.19,63.76,19415,33.84,23.89,313,,,
m,5,35.48,46.61,6903,39.25,26.44,285,,,
m,5,30.53,38.47,3516,34.12,24.30,232,,,
m,5,26.72,44.78,4994,28.19,19.68,239,,,
m,5,13.98,27.04,2616,13.88,8.86,136,,,
m,5,29.29,39.79,5679,32.31,22.49,229,,,
m,5,26.28,41.59,6288,30.13,22.36,205,,,
m,5,28.90,46.79,6184,32.18,21.92,245,,,
m,5,31.26,36.20,2651,32.71,22.52,245,,,
m,5,71.93,97.57,10155,78.28,58.31,674,,,
m,5,12.00,15.49,67,7.86,3.83,17,,,
m,5,26.91,42.09,4398,28.35,19.04,250,,,
m,5,23.23,38.85,5516,25.72,17.06,206,,,
