Pop,Longitude,Latitude,Pop,Longitude,Latitude,Distance,Fst,Group
IT-Abru,13.9275,42.4576,SE-Nass,14.6974,57.6521,1050.60123,0.438202,N
SE-Nass,14.6974,57.6521,IT-Abru,13.9275,42.4576,1050.60123,0.438202,N
ES-Ast,-6.5,43.17,SE-Fal,15.6275,60.606,1515.045116,0.437163,N
SE-Fal,15.6275,60.606,ES-Ast,-6.5,43.17,1515.045116,0.437163,N
IT-Cal,15.65,38.1144,PL-Sier,17.474509,54.09711,1107.893313,0.436906,NS
PL-Sier,17.474509,54.09711,IT-Cal,15.65,38.1144,1107.893313,0.436906,NS
IT-Cal,15.65,38.1144,PL-Dzie,14.99795,52.731386,1010.636048,0.430415,NS
PL-Dzie,14.99795,52.731386,IT-Cal,15.65,38.1144,1010.636048,0.430415,NS
IT-Cal,15.65,38.1144,RO-Mar,22.5417,45.3986,615.6260143,0.428269,N
RO-Mar,22.5417,45.3986,IT-Cal,15.65,38.1144,615.6260143,0.428269,N
IT-Cal,15.65,38.1144,PL-Ryj,18.945785,53.853784,1098.867327,0.428035,NS
PL-Ryj,18.945785,53.853784,IT-Cal,15.65,38.1144,1098.867327,0.428035,NS
PL-Sier,17.474509,54.09711,SE-Nass,14.6974,57.6521,268.1807941,0.427684,SN
SE-Nass,14.6974,57.6521,PL-Sier,17.474509,54.09711,268.1807941,0.427684,NS
FR-Ver,5.5301,43.5986,PL-Bob,16.567544,53.923758,870.737,0.425024,NS
PL-Bob,16.567544,53.923758,FR-Ver,5.5301,43.5986,870.737,0.425024,NS
FR-Ver,5.5301,43.5986,SE-Fal,15.6275,60.606,1247.71897,0.423133,N
SE-Fal,15.6275,60.606,FR-Ver,5.5301,43.5986,1247.71897,0.423133,N
GR-Mac,22.4511,40.9469,IT-Cal,15.65,38.1144,411.8113269,0.422311,N
IT-Cal,15.65,38.1144,GR-Mac,22.4511,40.9469,411.8113269,0.422311,N
GR-Vern,20.7643,39.5706,IT-Cal,15.65,38.1144,293.0480926,0.420328,N
IT-Cal,15.65,38.1144,GR-Vern,20.7643,39.5706,293.0480926,0.420328,N
ES-Ast,-6.5,43.17,IT-Cal,15.65,38.1144,1208.80192,0.419976,N
IT-Cal,15.65,38.1144,ES-Ast,-6.5,43.17,1208.80192,0.419976,N
RU-Vol,44.4525,48.681,SE-Nass,14.6974,57.6521,1364.724337,0.419756,N
SE-Nass,14.6974,57.6521,RU-Vol,44.4525,48.681,1364.724337,0.419756,N
IT-Cal,15.65,38.1144,PL-Ostr,19.958726,53.741945,1099.154996,0.418904,NS
PL-Ostr,19.958726,53.741945,IT-Cal,15.65,38.1144,1099.154996,0.418904,NS
IT-Cal,15.65,38.1144,RU-Vor,39.2089,51.6755,1474.58262,0.417744,N
RU-Vor,39.2089,51.6755,IT-Cal,15.65,38.1144,1474.58262,0.417744,N
DE-Bad,11.9383,52.9546,IT-Abru,13.9275,42.4576,731.2261232,0.415872,N
IT-Abru,13.9275,42.4576,DE-Bad,11.9383,52.9546,731.2261232,0.415872,N
GR-Mac,22.4511,40.9469,SE-Nass,14.6974,57.6521,1204.318508,0.41488,N
SE-Nass,14.6974,57.6521,GR-Mac,22.4511,40.9469,1204.318508,0.41488,N
DE-Bad,11.9383,52.9546,SE-Nass,14.6974,57.6521,342.2269596,0.413714,N
SE-Nass,14.6974,57.6521,DE-Bad,11.9383,52.9546,342.2269596,0.413714,N
ES-Ast,-6.5,43.17,PL-Swie,20.926346,50.895887,1387.632527,0.409306,NS
PL-Swie,20.926346,50.895887,ES-Ast,-6.5,43.17,1387.632527,0.409306,NS
ES-Ast,-6.5,43.17,PL-Olk,19.576457,50.216353,1320.046806,0.40771,NS
PL-Olk,19.576457,50.216353,ES-Ast,-6.5,43.17,1320.046806,0.40771,NS
